reference_id,creator,source_title,source_page_url,original_media_url,license_name,license_url,retrieved_at,original_width,original_height,normalized_width,normalized_height,local_path,sha256,used_by_shot_ids,roles_by_shot,reference_only,selected_for_production,rights_cleared_claim,ai_generated
ref-w1-b01-s01-kreiensen-station,Michael Gäbler,Railway station Kreiensen 1963,https://commons.wikimedia.org/wiki/File:Railway_station_Kreiensen_1963.JPG,https://upload.wikimedia.org/wikipedia/commons/5/56/Railway_station_Kreiensen_1963.JPG,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,2026-07-19,1969,1194,1600,970,composition-assets/ref-w1-b01-s01-kreiensen-station.jpg,49b3136c701d7e149194e74cac2a1c5c6dc688d6502340fce4915cec656da134,shot-b01-01,main,true,false,false,false
ref-w1-b01-s01-harvard-observatory,Daderot,"Sears Tower, Harvard Observatory","https://commons.wikimedia.org/wiki/File:Sears_Tower-Harvard_Observatory_-_60_Garden_Street,_Cambridge,_MA_-_IMG_4028.JPG","https://upload.wikimedia.org/wikipedia/commons/0/08/Sears_Tower-Harvard_Observatory_-_60_Garden_Street%2C_Cambridge%2C_MA_-_IMG_4028.JPG",Public domain (author dedication),https://commons.wikimedia.org/wiki/Template:PD-self,2026-07-19,2448,3264,1200,1600,composition-assets/ref-w1-b01-s01-harvard-observatory.jpg,6e1376fa2b4fa4bfffae778f1e86364b1c3baf5fe2925cd242337d76f7b33e84,shot-b01-01,support,true,false,false,false
ref-w1-b01-s02-wood-joints,Shyamal,Wood joints 20220730 154836,https://commons.wikimedia.org/wiki/File:Wood_joints_20220730_154836.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9c/Wood_joints_20220730_154836.jpg,CC0,https://creativecommons.org/publicdomain/zero/1.0/,2026-07-19,3000,3000,1600,1600,composition-assets/ref-w1-b01-s02-wood-joints.jpg,3258615d9b6b28e22ed5d0510f74f135e78953557735d0d6d42e47d122ddf2de,shot-b01-02,main,true,false,false,false
ref-w1-b01-s02-beam-junction,shankar s.,Love those wooden beams and trusses,https://commons.wikimedia.org/wiki/File:Love_those_wooden_beams_and_trusses_(20743508752).jpg,https://upload.wikimedia.org/wikipedia/commons/e/e8/Love_those_wooden_beams_and_trusses_%2820743508752%29.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,2026-07-19,4288,2848,1600,1062,composition-assets/ref-w1-b01-s02-beam-junction.jpg,05aacc6386c240e2174bd717e90342fec23e1b5fbdf092965495109d00f81e56,shot-b01-02,support,true,false,false,false
ref-w1-b01-s03-belfry-interior-art,William Henry Hunt,"Interior of the Belfry, Bushey Church","https://commons.wikimedia.org/wiki/File:William_Henry_Hunt_-_Interior_of_the_Belfry,_Bushey_Church_-_B1975.3.1039_-_Yale_Center_for_British_Art.jpg","https://upload.wikimedia.org/wikipedia/commons/3/3f/William_Henry_Hunt_-_Interior_of_the_Belfry%2C_Bushey_Church_-_B1975.3.1039_-_Yale_Center_for_British_Art.jpg",CC0,https://creativecommons.org/publicdomain/zero/1.0/,2026-07-19,1394,1920,1162,1600,composition-assets/ref-w1-b01-s03-belfry-interior-art.jpg,39602c0536b46c3f0868e2f4b9661c5e1bb1a4d67f70ca1fcdfecb9355c5d91b,shot-b01-03,main,true,false,false,false
ref-w1-b01-s03-noon-mark,Poulpy,"Gray, Basilique Notre-Dame, Noon Mark",https://commons.wikimedia.org/wiki/File:Gray_-_Basilique_Notre-Dame_-_Noon_Mark.jpg,https://upload.wikimedia.org/wikipedia/commons/5/51/Gray_-_Basilique_Notre-Dame_-_Noon_Mark.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2026-07-19,3013,4547,1060,1600,composition-assets/ref-w1-b01-s03-noon-mark.jpg,1c68f99c68f85869e461a832498d6485994c94a28c04effefaf47964b1447f62,shot-b01-03,support,true,false,false,false
ref-w1-b03-s01-page-turning,Pics_Pd,Antique book page turning,https://commons.wikimedia.org/wiki/File:Antique_book_page_turning.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b0/Antique_book_page_turning.jpg,CC0,https://creativecommons.org/publicdomain/zero/1.0/,2026-07-19,4681,3100,1600,1060,composition-assets/ref-w1-b03-s01-page-turning.jpg,d846f48b836c604cbbf913ad7b37700926a362bc657dc7a4df8b1b204dfb9f13,shot-b03-01,main,true,false,false,false
ref-w1-b03-s01-book-in-hand,AgustinaCC,Book in hand (Emma),https://commons.wikimedia.org/wiki/File:Book_in_hand_(Emma).jpg,https://upload.wikimedia.org/wikipedia/commons/c/cd/Book_in_hand_%28Emma%29.jpg,CC0,https://creativecommons.org/publicdomain/zero/1.0/,2026-07-19,2619,1964,1600,1200,composition-assets/ref-w1-b03-s01-book-in-hand.jpg,6fc36da6028effe9a402f18efabeeef970e6511f4023156994aa5dcf5aad681a,shot-b03-01,support,true,false,false,false
ref-w1-b03-s02-blank-book,Trey Jones,Blank book on a table,https://commons.wikimedia.org/wiki/File:Blank_book_on_a_table.jpg,https://upload.wikimedia.org/wikipedia/commons/2/21/Blank_book_on_a_table.jpg,CC0,https://creativecommons.org/publicdomain/zero/1.0/,2026-07-19,1200,1200,1200,1200,composition-assets/ref-w1-b03-s02-blank-book.jpg,312ac0465762b21dd1d67504d7dcaee074c94f73d7281f5adeb16fed618343a4,shot-b03-02,main,true,false,false,false
ref-w1-b03-s02-ledger-geometry,RaphaelQS,German ledger 1828,https://commons.wikimedia.org/wiki/File:Ledger.png,https://upload.wikimedia.org/wikipedia/commons/e/e6/Ledger.png,CC0,https://creativecommons.org/publicdomain/zero/1.0/,2026-07-19,1706,896,1600,840,composition-assets/ref-w1-b03-s02-ledger-geometry.jpg,ccbb058ad17576dd5d69329b67137947a3dfcc218672394d97f1bc4234e6ff88,shot-b03-02,support,true,false,false,false
