shot_id,beat_id,start_time,end_time,shot_purpose,visual_direction,asset_class,asset_status,rights_note,truth_boundary_note
shot-b01-01,bridge-storyboard-beat-1-bellless-tower,00:00,00:07,矛盾の舞台を置く,ノース・ベル駅と古い天文台を汎用の遠景で置き、空の鐘枠を読ませる。,environment_plate,unselected,素材未選定・権利未確認。実在の駅、塔、ロゴ、写真を使わず、新規の汎用構図のみ。,鐘が鳴る原因を画面化しない。
shot-b01-02,bridge-storyboard-beat-1-bellless-tower,00:07,00:14,鐘がないことを確認する,昼光の中の空の鐘枠、取付部、静かな塔内部を抽象的に示す。,environment_detail,unselected,素材未選定・権利未確認。既存建築写真や固有意匠を参照素材として固定しない。,撤去理由やwinter curfewを証明しない。
shot-b01-03,bridge-storyboard-beat-1-bellless-tower,00:14,00:20,未解決の問いへ止める,空の枠を固定で保持し、『正午』の小さな時間表示だけを添える。,motion_graphic_placeholder,unselected,素材未選定・権利未確認。文字と図形は新規作成のplaceholderに限る。,魔法、機械、人物のいずれも原因として示さない。
shot-b02-01,bridge-storyboard-beat-2-brass-moth,00:20,00:30,ミラの仕事と手元を置く,時計修理台の手元だけを見せ、顔、衣装、身体的特徴は確定しない。,character_hands,unselected,素材未選定・権利未確認。演者、手の写真、衣装、時計意匠は未選定。,final character designではない。
shot-b02-02,bridge-storyboard-beat-2-brass-moth,00:30,00:40,個人的な手がかりを並べる,引き出し内のメモと静止した真鍮の蛾をflat-layの汎用構図で見せる。,prop_insert,unselected,素材未選定・権利未確認。メモ文面と蛾の造形は新規placeholderのみ。,蛾を作動させず、機能を示さない。
shot-b02-03,bridge-storyboard-beat-2-brass-moth,00:40,00:50,9:17のmotifと蛾を分けて示す,9:17の時計面と蛾を別焦点に置き、因果を作らない。,clock_insert,unselected,素材未選定・権利未確認。時計面、書体、propは汎用の新規設計候補のみ。,9:17は閉店時刻のmotifであり、時計停止の確定事実にはしない。
shot-b03-01,bridge-storyboard-beat-3-erased-names,00:50,01:00,調査対象の台帳を開く,評議会に結びつく可能性のある台帳を開く手元を汎用propで示す。,document_prop,unselected,素材未選定・権利未確認。実在の公文書、紋章、scan、紙面を使わない。,所有者、真正性、有罪を確定しない。
shot-b03-02,bridge-storyboard-beat-3-erased-names,01:00,01:10,名前と分の関係を可視化する,名前と『分』の列を新規作成の仮文字で示し、関係は疑問形に保つ。,document_graphic,unselected,素材未選定・権利未確認。文字、表、紙texture、fontは最終素材ではない。,実在文書でも確定証拠でもない。
shot-b03-03,bridge-storyboard-beat-3-erased-names,01:10,01:20,記録欠落の感覚を作る,インクや名前の輪郭がゆっくり薄れる、抽象的なモーショングラフィックを想定する。,motion_graphic_placeholder,unselected,素材未選定・権利未確認。既存animationやtextureを流用しない。,literal erasureの証明ではなくvisual metaphor。
shot-b04-01,bridge-storyboard-beat-4-council-shadow,01:20,01:28,制度側の存在だけを示す,半透明の仕切り越しに中立的な匿名シルエットを置く。,anonymous_character_group,unselected,素材未選定・権利未確認。演者、顔、衣装、施設、ロゴは未選定。,guilty acting、個人特定、単純悪役化を避ける。
shot-b04-02,bridge-storyboard-beat-4-council-shadow,01:28,01:36,矛盾する二説を並置する,『時間販売の告発？』と『偽の記録？』を同じ重さで並べる。,review_graphic,unselected,素材未選定・権利未確認。新規の編集用文字面のみ。,Contradictory Claim Guardのどちらも勝たせない。
