"utterance_id","section_id","shot_id","predecessor_text","predecessor_word_count","finding_class","predecessor_finding","revised_text","materially_rewritten"
"cd-en-001","case-digest-section-01-incident","shot-b01-01","At noon, witnesses reported a bell sounding from a tower that has no bell.","14","full_audit_revision","audited for legal cadence, redundancy, rhythm, and first-listen clarity","At noon, witnesses reported hearing a bell from a tower that has no bell.","True"
"cd-en-002","case-digest-section-01-incident","shot-b01-01","The tower's mounting frame was empty, and no instrument capable of making that sound was found.","16","full_audit_revision","audited for legal cadence, redundancy, rhythm, and first-listen clarity","The mounting frame was empty, with no instrument there that could make the sound.","True"
"cd-en-003","case-digest-section-01-incident","shot-b01-02","The reported sound and empty frame are established, but no bell or sound-making mechanism has been confirmed.","17","required_repair","translated report cadence; repeats established and confirmed","The empty frame can be verified, but no bell or other sound-making device has been found.","True"
"cd-en-004","case-digest-section-01-incident","shot-b01-02","The source of that reported sound remains unidentified.","8","full_audit_revision","audited for legal cadence, redundancy, rhythm, and first-listen clarity","What produced the sound is still unknown.","True"
"cd-en-005","case-digest-section-02-investigator","shot-b02-01","Clock repairer Mira is examining clues connected to her missing brother.","11","full_audit_revision","audited for legal cadence, redundancy, rhythm, and first-listen clarity","Clock repairer Mira is following a trail of clues that may relate to her missing brother.","True"
"cd-en-006","case-digest-section-02-investigator","shot-b02-01","A note said to be his was left among the workshop materials.","12","full_audit_revision","audited for legal cadence, redundancy, rhythm, and first-listen clarity","Among the workshop materials is a handwritten note said to have come from him.","True"
"cd-en-007","case-digest-section-02-investigator","shot-b02-02","A brass moth appears beside the note, but its meaning and purpose remain unknown.","14","full_audit_revision","audited for legal cadence, redundancy, rhythm, and first-listen clarity","A brass moth lies beside it, though no one knows what the object was meant for.","True"
"cd-en-008","case-digest-section-02-investigator","shot-b02-03","Clocks and records repeat the time nine seventeen, linking the note, moth, and recorded time.","15","full_audit_revision","audited for legal cadence, redundancy, rhythm, and first-listen clarity","The time nine seventeen recurs in clocks and records, alongside the note and moth.","True"
"cd-en-009","case-digest-section-02-investigator","shot-b02-03","Together, those items form a clue chain, not proof of her brother's location.","13","full_audit_revision","audited for legal cadence, redundancy, rhythm, and first-listen clarity","Together they form a pattern, but not proof of where her brother is.","True"
"cd-en-010","case-digest-section-03-ledger","shot-b03-01","The note directs the investigation toward a ledger arranged in two columns.","12","full_audit_revision","audited for legal cadence, redundancy, rhythm, and first-listen clarity","The note leads Mira to a ledger divided into two columns.","True"
"cd-en-011","case-digest-section-03-ledger","shot-b03-01","One column records minutes, while the other records people's names.","10","full_audit_revision","audited for legal cadence, redundancy, rhythm, and first-listen clarity","One column lists minutes; the other column lists people's names.","True"
"cd-en-012","case-digest-section-03-ledger","shot-b03-02","The visible pages establish those two categories, but no causal action by the ledger.","14","required_repair","ungrammatical abstract construction: causal action","The pages show that structure, but they do not show the ledger causing anything.","True"
"cd-en-013","case-digest-section-03-ledger","shot-b03-02","They do not prove that the ledger steals time, removes people, or records genuine losses.","15","full_audit_revision","audited for legal cadence, redundancy, rhythm, and first-listen clarity","There is no proof that it steals time, makes people disappear, or records real losses.","True"
"cd-en-014","case-digest-section-04-council","shot-b04-01","The missing brother's note points the investigation toward the city council.","11","full_audit_revision","audited for legal cadence, redundancy, rhythm, and first-listen clarity","The note also turns Mira's investigation toward the city council.","True"
"cd-en-015","case-digest-section-04-council","shot-b04-01","That note records an allegation, not evidence confirming the council's involvement.","11","required_repair","unnecessarily legalistic allegation wording","The accusation raises suspicion, but it does not prove that the council was involved.","True"
"cd-en-016","case-digest-section-04-council","shot-b04-02","The ledger's origin and authenticity also remain unverified.","8","full_audit_revision","audited for legal cadence, redundancy, rhythm, and first-listen clarity","No one knows where the ledger came from or whether it is genuine.","True"
"cd-en-017","case-digest-section-04-council","shot-b04-02","No available material establishes the council's responsibility or motive.","9","required_repair","legal-report phrase: no available material establishes","The evidence leaves the council's possible role and motive equally unclear.","True"
"cd-en-018","case-digest-section-04-council","shot-b04-02","No known mechanism connects the council, ledger, missing brother, and tower incident.","12","full_audit_revision","audited for legal cadence, redundancy, rhythm, and first-listen clarity","No known link connects the council to the ledger, the missing brother, or the tower incident.","True"
"cd-en-019","case-digest-section-05-status","shot-b06-01","Confirmed items include the reported bell, empty frame, note, brass moth, nine seventeen, and two-column ledger.","16","required_repair","long legal inventory repeated from earlier sections","What is known is the empty frame, the report of a bell, the note, brass moth, nine seventeen, and two-column ledger.","True"
"cd-en-020","case-digest-section-05-status","shot-b06-01","The ledger records minutes and names as two separate categories.","10","required_repair","duplicates the ledger category explanation","The note, moth, and repeated time form a trail through the evidence.","True"
"cd-en-021","case-digest-section-05-status","shot-b06-01","Those categories are described without claiming that either records a real loss.","12","required_repair","duplicates the ledger evidential disclaimer","The ledger's meaning and any power behind it are still unknown.","True"
"cd-en-022","case-digest-section-05-status","shot-b06-03","The sound's source and the missing brother's location remain unconfirmed.","10","full_audit_revision","audited for legal cadence, redundancy, rhythm, and first-listen clarity","The bell's source and Mira's brother's location have not been found.","True"
"cd-en-023","case-digest-section-05-status","shot-b06-03","Any connection between the evidence and the council also remains unconfirmed.","11","full_audit_revision","audited for legal cadence, redundancy, rhythm, and first-listen clarity","No evidence yet connects the council to the ledger or the tower incident.","True"
"cd-en-024","case-digest-section-05-status","shot-b06-03","With those evidential limits unchanged, the tower remains under investigation.","10","full_audit_revision","audited for legal cadence, redundancy, rhythm, and first-listen clarity","For now, the tower remains under investigation.","True"
