sequence,shot_id,beat_id,start_time,end_time,duration_seconds,what_is_seen_ja,purpose_ja,visual_direction,positive_condition_ja,negative_guard_ja,scale,motion,transition,text_allowance_ja,asset_requirement_ids,asset_summary_ja,glossary_term_ids,planning_only
1,shot-b01-01,bridge-storyboard-beat-1-bellless-tower,00:00,00:07,7,空の鐘枠を持つ天文台遠景,矛盾の舞台を置く,ノース・ベル駅と古い天文台を汎用の遠景で置き、空の鐘枠を読ませる。,「空の鐘枠を持つ天文台遠景」へ最初に視線が集まること。,鐘が鳴る原因を画面化しない。,wide,slow_push,hard_cut,字幕のみ（最大2行・1行18字）,AR-ENV-01|AR-AUDIO-01,空の天文台環境＋6幕のaudio cue placeholder,term-north-bell-station|term-bellless-observatory|term-empty-bell-frame,true
2,shot-b01-02,bridge-storyboard-beat-1-bellless-tower,00:07,00:14,7,空の鐘枠と取付部,鐘がないことを確認する,昼光の中の空の鐘枠、取付部、静かな塔内部を抽象的に示す。,「空の鐘枠と取付部」へ最初に視線が集まること。,撤去理由やwinter curfewを証明しない。,close,locked,short_dissolve,字幕のみ（最大2行・1行18字）,AR-ENV-01|AR-AUDIO-01,空の天文台環境＋6幕のaudio cue placeholder,term-empty-bell-frame|term-winter-curfew,true
3,shot-b01-03,bridge-storyboard-beat-1-bellless-tower,00:14,00:20,6,空の鐘枠と正午表示,未解決の問いへ止める,空の枠を固定で保持し、『正午』の小さな時間表示だけを添える。,「空の鐘枠と正午表示」へ最初に視線が集まること。,魔法、機械、人物のいずれも原因として示さない。,medium,locked,held_fade,字幕と短いラベル（全体で最大2行・1行18字）,AR-ENV-01|AR-TYPE-01|AR-AUDIO-01,空の天文台環境＋日本語中心のtype system＋6幕のaudio cue placeholder,term-empty-bell-frame|term-noon,true
4,shot-b02-01,bridge-storyboard-beat-2-brass-moth,00:20,00:30,10,ミラの手元と時計修理台,ミラの仕事と手元を置く,時計修理台の手元だけを見せ、顔、衣装、身体的特徴は確定しない。,「ミラの手元と時計修理台」へ最初に視線が集まること。,final character designではない。,close,slow_pan,hard_cut,字幕のみ（最大2行・1行18字）,AR-CHAR-01|AR-PROP-01|AR-AUDIO-01,匿名の手元insert＋時計修理台と9:17時計＋6幕のaudio cue placeholder,term-mira,true
5,shot-b02-02,bridge-storyboard-beat-2-brass-moth,00:30,00:40,10,メモと静止した真鍮の蛾,個人的な手がかりを並べる,引き出し内のメモと静止した真鍮の蛾をflat-layの汎用構図で見せる。,「メモと静止した真鍮の蛾」へ最初に視線が集まること。,蛾を作動させず、機能を示さない。,close,locked,match_cut,字幕のみ（最大2行・1行18字）,AR-PROP-02|AR-PROP-03|AR-AUDIO-01,静止した真鍮の蛾＋汎用のトーマのメモ＋6幕のaudio cue placeholder,term-toma-note|term-brass-moth,true
6,shot-b02-03,bridge-storyboard-beat-2-brass-moth,00:40,00:50,10,9:17の時計面と真鍮の蛾,9:17のmotifと蛾を分けて示す,9:17の時計面と蛾を別焦点に置き、因果を作らない。,「9:17の時計面と真鍮の蛾」へ最初に視線が集まること。,9:17は閉店時刻のmotifであり、時計停止の確定事実にはしない。,extreme_close,controlled_parallax,graphic_match,字幕のみ（最大2行・1行18字）,AR-PROP-01|AR-PROP-02|AR-AUDIO-01,時計修理台と9:17時計＋静止した真鍮の蛾＋6幕のaudio cue placeholder,term-nine-seventeen|term-brass-moth,true
7,shot-b03-01,bridge-storyboard-beat-3-erased-names,00:50,01:00,10,開かれる台帳,調査対象の台帳を開く,評議会に結びつく可能性のある台帳を開く手元を汎用propで示す。,「開かれる台帳」へ最初に視線が集まること。,所有者、真正性、有罪を確定しない。,close,slow_push,hard_cut,字幕のみ（最大2行・1行18字）,AR-CHAR-01|AR-DOC-01|AR-AUDIO-01,匿名の手元insert＋架空の台帳variants＋6幕のaudio cue placeholder,term-minutes-ledger|term-council|term-ledger-hypotheses,true
8,shot-b03-02,bridge-storyboard-beat-3-erased-names,01:00,01:10,10,名前と分の列,名前と分の関係を可視化する,名前と『分』の列を新規作成の仮文字で示し、関係は疑問形に保つ。,「名前と分の列」へ最初に視線が集まること。,実在文書でも確定証拠でもない。,graphic_fullframe,locked,graphic_match,字幕と短いラベル（全体で最大2行・1行18字）,AR-DOC-01|AR-TYPE-01|AR-AUDIO-01,架空の台帳variants＋日本語中心のtype system＋6幕のaudio cue placeholder,term-minutes-ledger|term-minutes-column|term-erased-names,true
9,shot-b03-03,bridge-storyboard-beat-3-erased-names,01:10,01:20,10,薄れる名前の輪郭,記録欠落の感覚を作る,インクや名前の輪郭がゆっくり薄れる、抽象的なモーショングラフィックを想定する。,「薄れる名前の輪郭」へ最初に視線が集まること。,literal erasureの証明ではなくvisual metaphor。,graphic_fullframe,graphic_dissolve,short_dissolve,字幕のみ（最大2行・1行18字）,AR-ABS-01|AR-AUDIO-01,薄れる名前の抽象graphic＋6幕のaudio cue placeholder,term-erased-names,true
10,shot-b04-01,bridge-storyboard-beat-4-council-shadow,01:20,01:28,8,匿名の評議会シルエット,制度側の存在だけを示す,半透明の仕切り越しに中立的な匿名シルエットを置く。,「匿名の評議会シルエット」へ最初に視線が集まること。,guilty acting、個人特定、単純悪役化を避ける。,wide,slow_push,hard_cut,字幕のみ（最大2行・1行18字）,AR-ENV-02|AR-CHAR-02|AR-AUDIO-01,中立的な制度空間＋匿名の評議会silhouette＋6幕のaudio cue placeholder,term-council,true
