shot_id,beat_id,start_time,end_time,duration_seconds,plain_language_purpose_ja,visual_direction,scale,motion,transition,text_allowance_ja,asset_requirement_ids,source_required_asset_count,source_asset_status,source_rights_status,requirement_asset_status,requirement_rights_status,truth_boundary,done_when
shot-b01-01,bridge-storyboard-beat-1-bellless-tower,00:00,00:07,7,矛盾の舞台を置く,ノース・ベル駅と古い天文台を汎用の遠景で置き、空の鐘枠を読ませる。,wide,slow_push,hard_cut,字幕のみ（最大2行・1行18字）,AR-ENV-01|AR-AUDIO-01,1,unselected,not_cleared,unselected,not_reviewed,鐘が鳴る原因を画面化しない。,「空の鐘枠を持つ天文台遠景」へ最初に視線が集まり、鐘が鳴る原因を画面化しない。
shot-b01-02,bridge-storyboard-beat-1-bellless-tower,00:07,00:14,7,鐘がないことを確認する,昼光の中の空の鐘枠、取付部、静かな塔内部を抽象的に示す。,close,locked,short_dissolve,字幕のみ（最大2行・1行18字）,AR-ENV-01|AR-AUDIO-01,1,unselected,not_cleared,unselected,not_reviewed,撤去理由やwinter curfewを証明しない。,「空の鐘枠と取付部」へ最初に視線が集まり、撤去理由やwinter curfewを証明しない。
shot-b01-03,bridge-storyboard-beat-1-bellless-tower,00:14,00:20,6,未解決の問いへ止める,空の枠を固定で保持し、『正午』の小さな時間表示だけを添える。,medium,locked,held_fade,字幕と短いラベル（全体で最大2行・1行18字）,AR-ENV-01|AR-TYPE-01|AR-AUDIO-01,1,unselected,not_cleared,unselected,not_reviewed,魔法、機械、人物のいずれも原因として示さない。,「空の鐘枠と正午表示」へ最初に視線が集まり、魔法、機械、人物のいずれも原因として示さない。
shot-b02-01,bridge-storyboard-beat-2-brass-moth,00:20,00:30,10,ミラの仕事と手元を置く,時計修理台の手元だけを見せ、顔、衣装、身体的特徴は確定しない。,close,slow_pan,hard_cut,字幕のみ（最大2行・1行18字）,AR-CHAR-01|AR-PROP-01|AR-AUDIO-01,1,unselected,not_cleared,unselected,not_reviewed,final character designではない。,「ミラの手元と時計修理台」へ最初に視線が集まり、final character designではない。
shot-b02-02,bridge-storyboard-beat-2-brass-moth,00:30,00:40,10,個人的な手がかりを並べる,引き出し内のメモと静止した真鍮の蛾をflat-layの汎用構図で見せる。,close,locked,match_cut,字幕のみ（最大2行・1行18字）,AR-PROP-02|AR-PROP-03|AR-AUDIO-01,2,unselected,not_cleared,unselected,not_reviewed,蛾を作動させず、機能を示さない。,「メモと静止した真鍮の蛾」へ最初に視線が集まり、蛾を作動させず、機能を示さない。
shot-b02-03,bridge-storyboard-beat-2-brass-moth,00:40,00:50,10,9:17のmotifと蛾を分けて示す,9:17の時計面と蛾を別焦点に置き、因果を作らない。,extreme_close,controlled_parallax,graphic_match,字幕のみ（最大2行・1行18字）,AR-PROP-01|AR-PROP-02|AR-AUDIO-01,2,unselected,not_cleared,unselected,not_reviewed,9:17は閉店時刻のmotifであり、時計停止の確定事実にはしない。,「9:17の時計面と真鍮の蛾」へ最初に視線が集まり、9:17は閉店時刻のmotifであり、時計停止の確定事実にはしない。
shot-b03-01,bridge-storyboard-beat-3-erased-names,00:50,01:00,10,調査対象の台帳を開く,評議会に結びつく可能性のある台帳を開く手元を汎用propで示す。,close,slow_push,hard_cut,字幕のみ（最大2行・1行18字）,AR-CHAR-01|AR-DOC-01|AR-AUDIO-01,1,unselected,not_cleared,unselected,not_reviewed,所有者、真正性、有罪を確定しない。,「開かれる台帳」へ最初に視線が集まり、所有者、真正性、有罪を確定しない。
shot-b03-02,bridge-storyboard-beat-3-erased-names,01:00,01:10,10,名前と分の関係を可視化する,名前と『分』の列を新規作成の仮文字で示し、関係は疑問形に保つ。,graphic_fullframe,locked,graphic_match,字幕と短いラベル（全体で最大2行・1行18字）,AR-DOC-01|AR-TYPE-01|AR-AUDIO-01,1,unselected,not_cleared,unselected,not_reviewed,実在文書でも確定証拠でもない。,「名前と分の列」へ最初に視線が集まり、実在文書でも確定証拠でもない。
shot-b03-03,bridge-storyboard-beat-3-erased-names,01:10,01:20,10,記録欠落の感覚を作る,インクや名前の輪郭がゆっくり薄れる、抽象的なモーショングラフィックを想定する。,graphic_fullframe,graphic_dissolve,short_dissolve,字幕のみ（最大2行・1行18字）,AR-ABS-01|AR-AUDIO-01,1,unselected,not_cleared,unselected,not_reviewed,literal erasureの証明ではなくvisual metaphor。,「薄れる名前の輪郭」へ最初に視線が集まり、literal erasureの証明ではなくvisual metaphor。
shot-b04-01,bridge-storyboard-beat-4-council-shadow,01:20,01:28,8,制度側の存在だけを示す,半透明の仕切り越しに中立的な匿名シルエットを置く。,wide,slow_push,hard_cut,字幕のみ（最大2行・1行18字）,AR-ENV-02|AR-CHAR-02|AR-AUDIO-01,3,unselected,not_cleared,unselected,not_reviewed,guilty acting、個人特定、単純悪役化を避ける。,「匿名の評議会シルエット」へ最初に視線が集まり、guilty acting、個人特定、単純悪役化を避ける。
shot-b04-02,bridge-storyboard-beat-4-council-shadow,01:28,01:36,8,矛盾する二説を並置する,『時間販売の告発？』と『偽の記録？』を同じ重さで並べる。,graphic_fullframe,locked,graphic_match,字幕と短いラベル（全体で最大2行・1行18字）,AR-DOC-02|AR-TYPE-01|AR-AUDIO-01,2,unselected,not_cleared,unselected,not_reviewed,Contradictory Claim Guardのどちらも勝たせない。,「同じ重みの二つの仮説」へ最初に視線が集まり、Contradictory Claim Guardのどちらも勝たせない。
shot-b04-03,bridge-storyboard-beat-4-council-shadow,01:36,01:45,9,動機不明のまま緊張を渡す,台帳の影と閉じた抽象空間に『MOTIVE UNKNOWN』を小さく表示する。,medium,slow_pull,held_fade,字幕と短いラベル（全体で最大2行・1行18字）,AR-ENV-02|AR-DOC-01|AR-TYPE-01|AR-AUDIO-01,1,unselected,not_cleared,unselected,not_reviewed,動機と責任範囲を未決定のまま保つ。,「閉じた制度空間と台帳の影」へ最初に視線が集まり、動機と責任範囲を未決定のまま保つ。
shot-b05-01,bridge-storyboard-beat-5-held-answers,01:45,01:58,13,トーマの複数の運命を保留する,未確定シルエットと複数のfate札を並べ、どれも選択しない。,medium,slow_pan,hard_cut,字幕と短いラベル（全体で最大2行・1行18字）,AR-CHAR-03|AR-DOC-02|AR-AUDIO-01,1,unselected,not_cleared,unselected,not_reviewed,生存、死亡、消失、潜伏のいずれも採用しない。,「未確定のトーマ候補」へ最初に視線が集まり、生存、死亡、消失、潜伏のいずれも採用しない。
shot-b05-02,bridge-storyboard-beat-5-held-answers,01:58,02:11,13,蛾の機能候補を分離する,真鍮の蛾と『key / spy / memory』の候補語を別々に表示する。,close,controlled_parallax,match_cut,字幕と短いラベル（全体で最大2行・1行18字）,AR-PROP-02|AR-DOC-02|AR-AUDIO-01,1,unselected,not_cleared,unselected,not_reviewed,activationや正解表示を行わない。,「真鍮の蛾と機能候補」へ最初に視線が集まり、activationや正解表示を行わない。
shot-b05-03,bridge-storyboard-beat-5-held-answers,02:11,02:23,12,評議会の動機候補を保留する,中立的な制度像と『villainous / desperate / divided / misled』の候補札を並べる。,graphic_fullframe,locked,graphic_match,字幕と短いラベル（全体で最大2行・1行18字）,AR-ENV-02|AR-DOC-02|AR-AUDIO-01,1,unselected,not_cleared,unselected,not_reviewed,いずれもderived possibilityであり事実ではない。,「評議会の動機候補」へ最初に視線が集まり、いずれもderived possibilityであり事実ではない。
shot-b05-04,bridge-storyboard-beat-5-held-answers,02:23,02:35,12,三つの問いをHOLDへ戻す,Toma / moth / Councilを一つのHOLD面に戻して編集上の境界を示す。,graphic_fullframe,graphic_dissolve,held_fade,字幕と短いラベル（全体で最大2行・1行18字）,AR-DOC-02|AR-TYPE-01|AR-AUDIO-01,1,unselected,not_cleared,unselected,not_reviewed,物語世界の表示やcanon上の事実ではない。,「Toma / moth / Council HOLD面」へ最初に視線が集まり、物語世界の表示やcanon上の事実ではない。
shot-b06-01,bridge-storyboard-beat-6-time-or-names,02:35,02:44,9,終幕の二択を置く,時計面と空欄の名前欄を左右に並べ、中央は空ける。,graphic_fullframe,locked,hard_cut,字幕のみ（最大2行・1行18字）,AR-ABS-02|AR-TYPE-01|AR-AUDIO-01,2,unselected,not_cleared,unselected,not_reviewed,ミラの選択を示さない。,「時計面と空欄の名前欄」へ最初に視線が集まり、ミラの選択を示さない。
shot-b06-02,bridge-storyboard-beat-6-time-or-names,02:44,02:52,8,結論を書かずに台帳を閉じる,未記入欄を残したまま汎用の台帳が閉じる。,close,slow_pull,graphic_match,字幕のみ（最大2行・1行18字）,AR-DOC-01|AR-AUDIO-01,1,unselected,not_cleared,unselected,not_reviewed,消された人々や回復を確定しない。,「未記入欄を残す台帳」へ最初に視線が集まり、消された人々や回復を確定しない。
shot-b06-03,bridge-storyboard-beat-6-time-or-names,02:52,03:00,8,問いのまま冒頭像へ戻る,空の鐘枠へ戻り、『時間か、名前か』で静止する。,wide,slow_pull,held_fade,字幕と短いラベル（全体で最大2行・1行18字）,AR-ENV-01|AR-TYPE-01|AR-AUDIO-01,1,unselected,not_cleared,unselected,not_reviewed,ending candidateの問いで閉じ、解決を描かない。,「空の鐘枠と終幕の問い」へ最初に視線が集まり、ending candidateの問いで閉じ、解決を描かない。
