"utterance_id","section_id","shot_id","transcript","window_start_seconds","window_end_seconds","max_duration_seconds","delivery","register","pace","emphasis","avoid","pronunciation_notes"
"cd-en-001","case-digest-section-01-incident","shot-b01-01","At noon, witnesses reported hearing a bell from a tower that has no bell.","0.65","5.056","4.406","calm_documentary","lower_or_mid","measured_not_slow","light_factual_anchor","melodrama|trailer_cadence|legalese|mechanical_evenness|certainty_inflation",""
"cd-en-002","case-digest-section-01-incident","shot-b01-01","The mounting frame was empty, with no instrument there that could make the sound.","7.228","11.52","4.292","calm_documentary","lower_or_mid","measured_not_slow","none","melodrama|trailer_cadence|legalese|mechanical_evenness|certainty_inflation",""
"cd-en-003","case-digest-section-01-incident","shot-b01-02","The empty frame can be verified, but no bell or other sound-making device has been found.","13.692","18.981","5.289","calm_documentary","lower_or_mid","measured_not_slow","none","melodrama|trailer_cadence|legalese|mechanical_evenness|certainty_inflation",""
"cd-en-004","case-digest-section-01-incident","shot-b01-02","What produced the sound is still unknown.","21.153","23.3","2.147","calm_documentary","lower_or_mid","measured_not_slow","none","melodrama|trailer_cadence|legalese|mechanical_evenness|certainty_inflation",""
"cd-en-005","case-digest-section-02-investigator","shot-b02-01","Clock repairer Mira is following a trail of clues that may relate to her missing brother.","24.65","29.199","4.549","calm_documentary","lower_or_mid","measured_not_slow","none","melodrama|trailer_cadence|legalese|mechanical_evenness|certainty_inflation","Mira: MEER-ah"
"cd-en-006","case-digest-section-02-investigator","shot-b02-01","Among the workshop materials is a handwritten note said to have come from him.","33.605","37.572","3.967","calm_documentary","lower_or_mid","measured_not_slow","none","melodrama|trailer_cadence|legalese|mechanical_evenness|certainty_inflation",""
"cd-en-007","case-digest-section-02-investigator","shot-b02-02","A brass moth lies beside it, though no one knows what the object was meant for.","41.978","46.631","4.653","calm_documentary","lower_or_mid","measured_not_slow","none","melodrama|trailer_cadence|legalese|mechanical_evenness|certainty_inflation",""
"cd-en-008","case-digest-section-02-investigator","shot-b02-03","The time nine seventeen recurs in clocks and records, alongside the note and moth.","51.037","55.989","4.952","calm_documentary","lower_or_mid","measured_not_slow","light_factual_anchor","melodrama|trailer_cadence|legalese|mechanical_evenness|certainty_inflation","nine seventeen: spoken as time, not decimal"
"cd-en-009","case-digest-section-02-investigator","shot-b02-03","Together they form a pattern, but not proof of where her brother is.","60.395","64.3","3.905","calm_documentary","lower_or_mid","measured_not_slow","none","melodrama|trailer_cadence|legalese|mechanical_evenness|certainty_inflation",""
"cd-en-010","case-digest-section-03-ledger","shot-b03-01","The note leads Mira to a ledger divided into two columns.","65.65","68.87","3.22","calm_documentary","lower_or_mid","measured_not_slow","none","melodrama|trailer_cadence|legalese|mechanical_evenness|certainty_inflation",""
"cd-en-011","case-digest-section-03-ledger","shot-b03-01","One column lists minutes; the other column lists people's names.","73.322","77.357","4.035","calm_documentary","lower_or_mid","measured_not_slow","none","melodrama|trailer_cadence|legalese|mechanical_evenness|certainty_inflation",""
"cd-en-012","case-digest-section-03-ledger","shot-b03-02","The pages show that structure, but they do not show the ledger causing anything.","81.809","86.198","4.389","calm_documentary","lower_or_mid","measured_not_slow","none","melodrama|trailer_cadence|legalese|mechanical_evenness|certainty_inflation",""
"cd-en-013","case-digest-section-03-ledger","shot-b03-02","There is no proof that it steals time, makes people disappear, or records real losses.","90.65","96.3","5.65","calm_documentary","lower_or_mid","measured_not_slow","none","melodrama|trailer_cadence|legalese|mechanical_evenness|certainty_inflation",""
"cd-en-014","case-digest-section-04-council","shot-b04-01","The note also turns Mira's investigation toward the city council.","97.65","101.335","3.685","calm_documentary","lower_or_mid","measured_not_slow","none","melodrama|trailer_cadence|legalese|mechanical_evenness|certainty_inflation",""
"cd-en-015","case-digest-section-04-council","shot-b04-01","The accusation raises suspicion, but it does not prove that the council was involved.","105.475","110.325","4.85","calm_documentary","lower_or_mid","measured_not_slow","none","melodrama|trailer_cadence|legalese|mechanical_evenness|certainty_inflation",""
"cd-en-016","case-digest-section-04-council","shot-b04-02","No one knows where the ledger came from or whether it is genuine.","114.465","117.684","3.219","calm_documentary","lower_or_mid","measured_not_slow","none","melodrama|trailer_cadence|legalese|mechanical_evenness|certainty_inflation",""
"cd-en-017","case-digest-section-04-council","shot-b04-02","The evidence leaves the council's possible role and motive equally unclear.","121.824","125.771","3.947","calm_documentary","lower_or_mid","measured_not_slow","none","melodrama|trailer_cadence|legalese|mechanical_evenness|certainty_inflation",""
"cd-en-018","case-digest-section-04-council","shot-b04-02","No known link connects the council to the ledger, the missing brother, or the tower incident.","129.911","135.299","5.388","calm_documentary","lower_or_mid","measured_not_slow","none","melodrama|trailer_cadence|legalese|mechanical_evenness|certainty_inflation",""
"cd-en-019","case-digest-section-05-status","shot-b06-01","What is known is the empty frame, the report of a bell, the note, brass moth, nine seventeen, and two-column ledger.","136.65","144.748","8.098","calm_documentary","lower_or_mid","measured_not_slow","light_factual_anchor","melodrama|trailer_cadence|legalese|mechanical_evenness|certainty_inflation","nine seventeen: spoken as time, not decimal"
