reference_id,source_kind,source_title,creator,source_page_url,original_media_url,acquisition_media_url,license_name,license_url,retrieved_at,original_width,original_height,acquired_width,acquired_height,normalized_width,normalized_height,local_path,sha256,perceptual_dhash,wave2_used_by_shot_ids,roles_by_shot,reference_only,selected_for_production,rights_cleared_claim,ai_generated
ref-w2-b05-s01-horizon-silhouette,new_reference,Horizon person silhouette (Unsplash),Chris Roe,https://commons.wikimedia.org/wiki/File:Horizon_person_silhouette_(Unsplash).jpg,https://upload.wikimedia.org/wikipedia/commons/2/29/Horizon_person_silhouette_%28Unsplash%29.jpg,https://upload.wikimedia.org/wikipedia/commons/2/29/Horizon_person_silhouette_%28Unsplash%29.jpg,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,2026-07-19,4896,2760,4896,2760,1600,902,artifacts/composition-expansion-wave2/reference-assets/ref-w2-b05-s01-horizon-silhouette.jpg,2f5cbd4befae47efb0b44a35a901221dfc101ff2b027daee1b9c92575f4492a7,4f4f070f00840203,shot-b05-01|shot-b05-04,"{""shot-b05-01"":""main"",""shot-b05-04"":""main""}",true,false,false,false
ref-w2-b05-fate-blank-card,new_reference,Blank Card,Corn cheese,https://commons.wikimedia.org/wiki/File:Blank_Card.jpg,https://upload.wikimedia.org/wikipedia/commons/3/34/Blank_Card.jpg,https://upload.wikimedia.org/wikipedia/commons/3/34/Blank_Card.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,2026-07-19,1280,720,1280,720,1280,720,artifacts/composition-expansion-wave2/reference-assets/ref-w2-b05-fate-blank-card.jpg,c970d41f104ddb5a7ebcda6348cd1018dc979101329d51cb5f303c64a49ce802,3f39393f3e26765e,shot-b05-01,"{""shot-b05-01"":""support""}",true,false,false,false
ref-w2-b05-s02-brass-plate,new_reference,Brass plate (16911864106),U.S. Army Corps of Engineers Savannah District; photo by Jim Jobling,https://commons.wikimedia.org/wiki/File:Brass_plate_(16911864106).jpg,https://upload.wikimedia.org/wikipedia/commons/a/ab/Brass_plate_%2816911864106%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Brass_plate_%2816911864106%29.jpg/1280px-Brass_plate_%2816911864106%29.jpg,Public Domain (U.S. federal government work),https://commons.wikimedia.org/wiki/Template:PD-USGov-Military-Army,2026-07-19,4608,3456,1280,960,1280,960,artifacts/composition-expansion-wave2/reference-assets/ref-w2-b05-s02-brass-plate.jpg,d9d8146351e2db5b42dc7c39c4609399aa8039cfa68387722f591f833369ae39,22d98ccad4e87122,shot-b05-02,"{""shot-b05-02"":""support""}",true,false,false,false
ref-w2-b06-s02-closed-book,new_reference,Closed book,J.Dncsn,https://commons.wikimedia.org/wiki/File:Closed_book.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7e/Closed_book.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Closed_book.jpg/1280px-Closed_book.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,2026-07-19,3318,2315,1280,893,1280,893,artifacts/composition-expansion-wave2/reference-assets/ref-w2-b06-s02-closed-book.jpg,e69f1a06db297bb537d57684cf4989615e0426eb4500c6c8cc5d7aa6bddca2ab,0f0f0f0f0f070707,shot-b06-02,"{""shot-b06-02"":""main""}",true,false,false,false
ref-b02-s02-metal-butterfly-brooch,inherited_reference,Butterfly brooch.jpg,Jane023 (photographer/uploader; own work),https://commons.wikimedia.org/wiki/File:Butterfly_brooch.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e2/Butterfly_brooch.jpg,,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,2026-07-14,4032,3024,,,1600,1200,artifacts/beat2-composition-board/composition-assets/ref-b02-s02-metal-butterfly-brooch.jpg,ac4df2e88ff0834f6a6695b3fa72737d75e5dbec78a177c9056c3b8a0e3376b9,,shot-b05-02|shot-b05-04,"{""shot-b05-02"":""main"",""shot-b05-04"":""support""}",true,false,false,false
ref-b02-s03-vintage-watch-0915,inherited_reference,Vintage Bulova Men's Swiss-Made Manual-Wind Wrist Watch (8505636506).jpg,Joe Haupt,https://commons.wikimedia.org/wiki/File:Vintage_Bulova_Men%27s_Swiss-Made_Manual-Wind_Wrist_Watch_(8505636506).jpg,https://upload.wikimedia.org/wikipedia/commons/d/d9/Vintage_Bulova_Men%27s_Swiss-Made_Manual-Wind_Wrist_Watch_%288505636506%29.jpg,,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,2026-07-14,4608,3456,,,1600,1200,artifacts/beat2-composition-board/composition-assets/ref-b02-s03-vintage-watch-0915.jpg,80abb1498c2e38ad6f5e0c3dc4b44b0b61729b5db4e68db0ddc050c70c7a2082,,shot-b06-01,"{""shot-b06-01"":""main""}",true,false,false,false
ref-b04-s02-card-catalogue,inherited_reference,Archive / Card catalogue drawers,Carolina Prysyazhnyuk,https://www.flickr.com/photos/129657698@N02/16159019626/,https://upload.wikimedia.org/wikipedia/commons/d/da/Card_catalogue_drawers.jpg,https://live.staticflickr.com/7513/16159019626_ec86e8e50f_b.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,2026-07-19,3872,2592,1023,685,1022,574,artifacts/beat4-composition-counterexample/composition-assets/ref-b04-s02-card-catalogue.jpg,23aaf60edcd0880b63e5c98eed29a2ea46fddf0c5e3e8ab17c3e948cfcae5822,,shot-b05-03,"{""shot-b05-03"":""main""}",true,false,false,false
ref-b04-s03-closed-meeting-room,inherited_reference,Interieur vergaderzaal / Meeting Room Interior,Het Nieuwe Instituut - Architecture Collection; photographer unknown,https://www.flickr.com/photos/nai_collection/5260603510/,https://upload.wikimedia.org/wikipedia/commons/c/c1/Interieur_vergaderzaal_-_Meeting_Room_Interior_%285260603510%29.jpg,https://live.staticflickr.com/5282/5260603510_863575f37e_b.jpg,No known copyright restrictions,https://www.flickr.com/commons/usage/,2026-07-19,1280,998,1023,798,1022,574,artifacts/beat4-composition-counterexample/composition-assets/ref-b04-s03-closed-meeting-room.jpg,e6f06540dba924ccd3c5aaa38fa3f676f489335762b61dd7ecbcca69da196ca9,,shot-b05-03|shot-b05-04,"{""shot-b05-03"":""support"",""shot-b05-04"":""support""}",true,false,false,false
ref-w1-b03-s02-blank-book,inherited_reference,Blank book on a table,Trey Jones,https://commons.wikimedia.org/wiki/File:Blank_book_on_a_table.jpg,https://upload.wikimedia.org/wikipedia/commons/2/21/Blank_book_on_a_table.jpg,,CC0,https://creativecommons.org/publicdomain/zero/1.0/,2026-07-19,1200,1200,,,1200,1200,artifacts/composition-expansion-wave1/composition-assets/ref-w1-b03-s02-blank-book.jpg,312ac0465762b21dd1d67504d7dcaee074c94f73d7281f5adeb16fed618343a4,,shot-b06-01|shot-b06-02,"{""shot-b06-01"":""support"",""shot-b06-02"":""support""}",true,false,false,false
ref-w1-b03-s02-ledger-geometry,inherited_reference,German ledger 1828,RaphaelQS,https://commons.wikimedia.org/wiki/File:Ledger.png,https://upload.wikimedia.org/wikipedia/commons/e/e6/Ledger.png,,CC0,https://creativecommons.org/publicdomain/zero/1.0/,2026-07-19,1706,896,,,1600,840,artifacts/composition-expansion-wave1/composition-assets/ref-w1-b03-s02-ledger-geometry.jpg,ccbb058ad17576dd5d69329b67137947a3dfcc218672394d97f1bc4234e6ff88,,shot-b06-02,"{""shot-b06-02"":""support""}",true,false,false,false
