cue_id,shot_id,profile_id,viewport,font_family,font_px,safe_width_px,source_text,authored_break_hint_present,full_width_px,line_count,line_1,line_1_width_px,line_2,line_2_width_px,break_index,orphan_count,one_character_line_count,prohibited_boundary_count,kinsoku_pass,orphan_pass,proper_name_pass,safe_width_pass,status
case-digest-caption-01,shot-b01-01,video_960x540,960x540,Yu Gothic UI,30,840,正午、鐘のない塔から鐘の音が響いたと報告された。,false,636,1,正午、鐘のない塔から鐘の音が響いたと報告された。,636,,,,0,0,0,true,true,true,true,PASS
case-digest-caption-01,shot-b01-01,video_1280x720,1280x720,Yu Gothic UI,40,1120,正午、鐘のない塔から鐘の音が響いたと報告された。,false,851,1,正午、鐘のない塔から鐘の音が響いたと報告された。,851,,,,0,0,0,true,true,true,true,PASS
case-digest-caption-01,shot-b01-01,html_desktop,1440x1000,Yu Gothic UI,28,804,正午、鐘のない塔から鐘の音が響いたと報告された。,false,592,1,正午、鐘のない塔から鐘の音が響いたと報告された。,592,,,,0,0,0,true,true,true,true,PASS
case-digest-caption-01,shot-b01-01,html_narrow,390x844,Yu Gothic UI,18,312,正午、鐘のない塔から鐘の音が響いたと報告された。,false,383,2,正午、鐘のない塔から,162,鐘の音が響いたと報告された。,221,10,0,0,0,true,true,true,true,PASS
case-digest-caption-02,shot-b01-02,video_960x540,960x540,Yu Gothic UI,30,840,塔の取付枠は空で、鐘は確認できない。,false,486,1,塔の取付枠は空で、鐘は確認できない。,486,,,,0,0,0,true,true,true,true,PASS
case-digest-caption-02,shot-b01-02,video_1280x720,1280x720,Yu Gothic UI,40,1120,塔の取付枠は空で、鐘は確認できない。,false,650,1,塔の取付枠は空で、鐘は確認できない。,650,,,,0,0,0,true,true,true,true,PASS
case-digest-caption-02,shot-b01-02,html_desktop,1440x1000,Yu Gothic UI,28,804,塔の取付枠は空で、鐘は確認できない。,false,451,1,塔の取付枠は空で、鐘は確認できない。,451,,,,0,0,0,true,true,true,true,PASS
case-digest-caption-02,shot-b01-02,html_narrow,390x844,Yu Gothic UI,18,312,塔の取付枠は空で、鐘は確認できない。,false,294,2,塔の取付枠は空で、,147,鐘は確認できない。,140,9,0,0,0,true,true,true,true,PASS
case-digest-caption-03,shot-b02-01,video_960x540,960x540,Yu Gothic UI,30,840,時計修理師のミラ・ヴェイルが、失踪した兄の手掛かりを調べる。,false,762,2,時計修理師のミラ・ヴェイルが、,360,失踪した兄の手掛かりを調べる。,390,15,0,0,0,true,true,true,true,PASS
case-digest-caption-03,shot-b02-01,video_1280x720,1280x720,Yu Gothic UI,40,1120,時計修理師のミラ・ヴェイルが、失踪した兄の手掛かりを調べる。,false,1020,2,時計修理師のミラ・ヴェイルが、,483,失踪した兄の手掛かりを調べる。,521,15,0,0,0,true,true,true,true,PASS
