cue_id,beat_id,start_time,end_time,text_ja,line_break_hint,status,truth_risk_marker
sub-b01-01,bridge-storyboard-beat-1-bellless-tower,00:01,00:07,正午、鐘のない塔が鳴る。,正午、鐘のない塔が｜鳴る。,provisional_editorial_draft,medium
sub-b01-02,bridge-storyboard-beat-1-bellless-tower,00:08,00:14,鐘は外された、と記録にはある。,鐘は外された、と｜記録にはある。,provisional_editorial_draft,medium
sub-b01-03,bridge-storyboard-beat-1-bellless-tower,00:15,00:19,では、何が鳴っている？,では、何が｜鳴っている？,provisional_editorial_draft,low
sub-b02-01,bridge-storyboard-beat-2-brass-moth,00:21,00:28,アーケードは毎夜9:17に閉じる。,アーケードは｜毎夜9:17に閉じる。,provisional_editorial_draft,low
sub-b02-02,bridge-storyboard-beat-2-brass-moth,00:29,00:39,トーマが残したとされるメモと真鍮の蛾。,トーマが残したとされる｜メモと真鍮の蛾。,provisional_editorial_draft,high
sub-b02-03,bridge-storyboard-beat-2-brass-moth,00:40,00:49,その働きは、まだ分からない。,その機能は、｜まだ未決定。,provisional_editorial_draft,high
sub-b03-01,bridge-storyboard-beat-3-erased-names,00:51,00:59,台帳には『分』と名前が並ぶ。,台帳には『分』と｜名前が並ぶ。,provisional_editorial_draft,medium
sub-b03-02,bridge-storyboard-beat-3-erased-names,01:00,01:09,時間は、忘れられた人生から？,時間は、忘れられた｜人生から？,provisional_editorial_draft,high
sub-b03-03,bridge-storyboard-beat-3-erased-names,01:10,01:19,証拠か、誘い餌か、偽の記録か。,証拠か、誘い餌か、｜偽の記録か。,provisional_editorial_draft,high
sub-b04-01,bridge-storyboard-beat-4-council-shadow,01:21,01:28,メモは評議会を告発する。,メモは評議会を｜告発する。,provisional_editorial_draft,high
sub-b04-02,bridge-storyboard-beat-4-council-shadow,01:29,01:36,だが、台帳の真偽は未確定。,だが、台帳の真偽は｜未確定。,provisional_editorial_draft,high
sub-b04-03,bridge-storyboard-beat-4-council-shadow,01:37,01:44,評議会の動機：不明,評議会の動機：｜不明,provisional_editorial_draft,high
sub-b05-01,bridge-storyboard-beat-5-held-answers,01:46,01:55,トーマの運命：未解決,トーマの運命：｜未解決,provisional_editorial_draft,high
sub-b05-02,bridge-storyboard-beat-5-held-answers,01:56,02:05,真鍮の蛾の機能：未解決,真鍮の蛾の機能：｜未解決,provisional_editorial_draft,high
sub-b05-03,bridge-storyboard-beat-5-held-answers,02:06,02:15,評議会の動機：未解決,評議会の動機：｜未解決,provisional_editorial_draft,high
sub-b05-04,bridge-storyboard-beat-5-held-answers,02:16,02:24,複数の説が残っている。,複数の説が｜残っている。,provisional_editorial_draft,high
sub-b05-05,bridge-storyboard-beat-5-held-answers,02:25,02:34,どれも、まだ物語の真実ではない。,どれも、まだ｜物語の真実ではない。,provisional_editorial_draft,high
sub-b06-01,bridge-storyboard-beat-6-time-or-names,02:36,02:43,失われた時間を戻す？,失われた時間を｜戻す？,provisional_editorial_draft,high
sub-b06-02,bridge-storyboard-beat-6-time-or-names,02:44,02:51,それとも、消えた名前を返す？,それとも、消えた｜名前を返す？,provisional_editorial_draft,high
sub-b06-03,bridge-storyboard-beat-6-time-or-names,02:52,02:59,結末候補：時間か、名前か。,結末候補：｜時間か、名前か。,provisional_editorial_draft,high
