shot_id,sequence,start_seconds,end_seconds,duration_seconds,motion,transition,motion_start,motion_mid,motion_end,transition_render,transition_duration_seconds
shot-b01-01,1,0,7,7,slow_push,hard_cut,"{""scale"":1,""x"":0,""y"":0,""opacity"":1}","{""scale"":1.03,""x"":0,""y"":0,""opacity"":1}","{""scale"":1.06,""x"":0,""y"":0,""opacity"":1}",frame_boundary_cut,0
shot-b01-02,2,7,14,7,locked,short_dissolve,"{""scale"":1,""x"":0,""y"":0,""foreground_x"":0,""opacity"":1}","{""scale"":1,""x"":0,""y"":0,""foreground_x"":0,""opacity"":1}","{""scale"":1,""x"":0,""y"":0,""foreground_x"":0,""opacity"":1}",dissolve,0.6
shot-b01-03,3,14,20,6,locked,held_fade,"{""scale"":1,""x"":0,""y"":0,""foreground_x"":0,""opacity"":1}","{""scale"":1,""x"":0,""y"":0,""foreground_x"":0,""opacity"":1}","{""scale"":1,""x"":0,""y"":0,""foreground_x"":0,""opacity"":1}",fadeblack,0.75
shot-b02-01,4,20,30,10,slow_pan,hard_cut,"{""scale"":1.08,""x"":-32,""y"":0,""opacity"":1}","{""scale"":1.08,""x"":0,""y"":0,""opacity"":1}","{""scale"":1.08,""x"":32,""y"":0,""opacity"":1}",frame_boundary_cut,0
shot-b02-02,5,30,40,10,locked,match_cut,"{""scale"":1,""x"":0,""y"":0,""foreground_x"":0,""opacity"":1}","{""scale"":1,""x"":0,""y"":0,""foreground_x"":0,""opacity"":1}","{""scale"":1,""x"":0,""y"":0,""foreground_x"":0,""opacity"":1}",fade,0.16
shot-b02-03,6,40,50,10,controlled_parallax,graphic_match,"{""scale"":1.02,""x"":-12,""y"":0,""foreground_x"":18,""opacity"":1}","{""scale"":1.03,""x"":0,""y"":0,""foreground_x"":0,""opacity"":1}","{""scale"":1.04,""x"":12,""y"":0,""foreground_x"":-18,""opacity"":1}",smoothleft,0.45
shot-b03-01,7,50,60,10,slow_push,hard_cut,"{""scale"":1,""x"":0,""y"":0,""opacity"":1}","{""scale"":1.03,""x"":0,""y"":0,""opacity"":1}","{""scale"":1.06,""x"":0,""y"":0,""opacity"":1}",frame_boundary_cut,0
shot-b03-02,8,60,70,10,locked,graphic_match,"{""scale"":1,""x"":0,""y"":0,""foreground_x"":0,""opacity"":1}","{""scale"":1,""x"":0,""y"":0,""foreground_x"":0,""opacity"":1}","{""scale"":1,""x"":0,""y"":0,""foreground_x"":0,""opacity"":1}",smoothleft,0.45
shot-b03-03,9,70,80,10,graphic_dissolve,short_dissolve,"{""scale"":1,""x"":0,""y"":0,""opacity"":0}","{""scale"":1,""x"":0,""y"":0,""opacity"":0.5}","{""scale"":1,""x"":0,""y"":0,""opacity"":1}",dissolve,0.6
shot-b04-01,10,80,88,8,slow_push,hard_cut,"{""scale"":1,""x"":0,""y"":0,""opacity"":1}","{""scale"":1.03,""x"":0,""y"":0,""opacity"":1}","{""scale"":1.06,""x"":0,""y"":0,""opacity"":1}",frame_boundary_cut,0
shot-b04-02,11,88,96,8,locked,graphic_match,"{""scale"":1,""x"":0,""y"":0,""foreground_x"":0,""opacity"":1}","{""scale"":1,""x"":0,""y"":0,""foreground_x"":0,""opacity"":1}","{""scale"":1,""x"":0,""y"":0,""foreground_x"":0,""opacity"":1}",smoothleft,0.45
shot-b04-03,12,96,105,9,slow_pull,held_fade,"{""scale"":1.06,""x"":0,""y"":0,""opacity"":1}","{""scale"":1.03,""x"":0,""y"":0,""opacity"":1}","{""scale"":1,""x"":0,""y"":0,""opacity"":1}",fadeblack,0.75
shot-b05-01,13,105,118,13,slow_pan,hard_cut,"{""scale"":1.08,""x"":-32,""y"":0,""opacity"":1}","{""scale"":1.08,""x"":0,""y"":0,""opacity"":1}","{""scale"":1.08,""x"":32,""y"":0,""opacity"":1}",frame_boundary_cut,0
shot-b05-02,14,118,131,13,controlled_parallax,match_cut,"{""scale"":1.02,""x"":-12,""y"":0,""foreground_x"":18,""opacity"":1}","{""scale"":1.03,""x"":0,""y"":0,""foreground_x"":0,""opacity"":1}","{""scale"":1.04,""x"":12,""y"":0,""foreground_x"":-18,""opacity"":1}",fade,0.16
shot-b05-03,15,131,143,12,locked,graphic_match,"{""scale"":1,""x"":0,""y"":0,""foreground_x"":0,""opacity"":1}","{""scale"":1,""x"":0,""y"":0,""foreground_x"":0,""opacity"":1}","{""scale"":1,""x"":0,""y"":0,""foreground_x"":0,""opacity"":1}",smoothleft,0.45
shot-b05-04,16,143,155,12,graphic_dissolve,held_fade,"{""scale"":1,""x"":0,""y"":0,""opacity"":0}","{""scale"":1,""x"":0,""y"":0,""opacity"":0.5}","{""scale"":1,""x"":0,""y"":0,""opacity"":1}",fadeblack,0.75
shot-b06-01,17,155,164,9,locked,hard_cut,"{""scale"":1,""x"":0,""y"":0,""foreground_x"":0,""opacity"":1}","{""scale"":1,""x"":0,""y"":0,""foreground_x"":0,""opacity"":1}","{""scale"":1,""x"":0,""y"":0,""foreground_x"":0,""opacity"":1}",frame_boundary_cut,0
shot-b06-02,18,164,172,8,slow_pull,graphic_match,"{""scale"":1.06,""x"":0,""y"":0,""opacity"":1}","{""scale"":1.03,""x"":0,""y"":0,""opacity"":1}","{""scale"":1,""x"":0,""y"":0,""opacity"":1}",smoothleft,0.45
shot-b06-03,19,172,180,8,slow_pull,held_fade,"{""scale"":1.06,""x"":0,""y"":0,""opacity"":1}","{""scale"":1.03,""x"":0,""y"":0,""opacity"":1}","{""scale"":1,""x"":0,""y"":0,""opacity"":1}",fadeblack,0.75
