cue_id,shot_id,start_seconds,end_seconds,text_ja,selected_for_production,voice_calibrated,authored_line_break_hint
production-subtitle-draft-01,shot-b01-01,0,12,正午、鐘のない塔が鳴ったと報告された。,false,false,false
production-subtitle-draft-02,shot-b01-02,12,24,取付枠に鐘はない。,false,false,false
production-subtitle-draft-03,shot-b02-01,24,38,時計修理師のミラ・ヴェイルが調査する。,false,false,false
production-subtitle-draft-04,shot-b02-02,38,52,失踪した兄のメモと真鍮の蛾が残る。,false,false,false
production-subtitle-draft-05,shot-b02-03,52,65,9:17が繰り返し現れる。,false,false,false
production-subtitle-draft-06,shot-b03-01,65,81,メモは台帳を指す。,false,false,false
production-subtitle-draft-07,shot-b03-02,81,97,台帳には「分」と人名の欄がある。,false,false,false
production-subtitle-draft-08,shot-b04-01,97,116,メモは市の評議会を指す。,false,false,false
production-subtitle-draft-09,shot-b04-02,116,136,関与を裏づける証拠はない。,false,false,false
production-subtitle-draft-10,shot-b06-01,136,158,時間と名前は二つの記録区分だ。,false,false,false
production-subtitle-draft-11,shot-b06-03,158,180,塔は調査対象として残る。,false,false,false
