sequence,shot_id,beat_number,start_time,end_time,duration_seconds,source_kind,image_path,width,height,sha256,style_contract_version,exact_anchor,derivative,pending_owner_review,selected_for_final_production,rights_cleared_claim,truth_boundary
1,shot-b01-01,1,00:00,00:07,7,generated_raster,artifacts/private-full-raster-candidate/images/base/shot-b01-01.jpg,1600,900,02d383985abb9da03411f8e82db0f7bf98b6514fe49b13f163be44149cfe079e,1.0.0,false,false,true,false,false,鐘が鳴る原因を画面化しない。
2,shot-b01-02,1,00:07,00:14,7,generated_raster,artifacts/private-full-raster-candidate/images/base/shot-b01-02.jpg,1600,900,bd252485bbdb15d4d0ac722f36005e80c534e5e72b79d9a03233fb2cbd9a9c23,1.0.0,false,false,true,false,false,撤去理由やwinter curfewを証明しない。
3,shot-b01-03,1,00:14,00:20,6,generated_raster,artifacts/private-full-raster-candidate/images/base/shot-b01-03.jpg,1600,900,81908541e9eb844e7117aff49ae99839e3222336060d39b59801c41b71c9c0f5,1.0.0,false,false,true,false,false,魔法、機械、人物のいずれも原因として示さない。
4,shot-b02-01,2,00:20,00:30,10,generated_raster,artifacts/private-full-raster-candidate/images/base/shot-b02-01.jpg,1600,900,a53cdb8c0077615fb2005b03e26b5f7cd0400ad70d113d0a1673a578da246304,1.0.0,false,false,true,false,false,final character designではない。
5,shot-b02-02,2,00:30,00:40,10,generated_raster,artifacts/private-full-raster-candidate/images/base/shot-b02-02.jpg,1600,900,f9a668fd9fea3dc897caa2b41a3ca97e334dd4e7c2ca6047e160bfc76c6bba09,1.0.0,false,false,true,false,false,蛾を作動させず、機能を示さない。
6,shot-b02-03,2,00:40,00:50,10,accepted_generated_raster_anchor,artifacts/high-fidelity-raster-pilot/images/shot-b02-03.jpg,1600,900,5a2b371948dfeed3e15cbdcd81ec4de48e2d4f4db429bbea3ee021c9f74f1c31,1.0.0,true,false,true,false,false,9:17は閉店時刻のmotifであり、時計停止の確定事実にはしない。
7,shot-b03-01,3,00:50,01:00,10,generated_raster,artifacts/private-full-raster-candidate/images/base/shot-b03-01.jpg,1600,900,4dd4f97732892c79b97590a20a90e03a4dbd1350330c31cfdf499f1a45060839,1.0.0,false,false,true,false,false,所有者、真正性、有罪を確定しない。
8,shot-b03-02,3,01:00,01:10,10,generated_raster,artifacts/private-full-raster-candidate/images/base/shot-b03-02.jpg,1600,900,02aaff8818dbbd2bcc39d2943f38a369018b03a74f9d273eee406c93656da460,1.0.0,false,false,true,false,false,実在文書でも確定証拠でもない。
9,shot-b03-03,3,01:10,01:20,10,deterministic_raster_composite,artifacts/private-full-raster-candidate/images/final/shot-b03-03.jpg,1600,900,d28f599fff868a5fbc5d5bf613a98c9f935eeb768fccf3b610b1a77631400d91,1.0.0,false,true,true,false,false,literal erasureの証明ではなくvisual metaphor。
10,shot-b04-01,4,01:20,01:28,8,accepted_generated_raster_anchor,artifacts/high-fidelity-raster-pilot/images/shot-b04-01.jpg,1600,900,ec774118a012db4f70ee138ba0e4f8107e8abfdd98f8fb006a95c7e409b4c8d1,1.0.0,true,false,true,false,false,guilty acting、個人特定、単純悪役化を避ける。
11,shot-b04-02,4,01:28,01:36,8,generated_raster,artifacts/private-full-raster-candidate/images/base/shot-b04-02.jpg,1600,900,a0d854fe6a39523aad612216f3205c312de9a9a8129bd472023e97206b662ddf,1.0.0,false,false,true,false,false,Contradictory Claim Guardのどちらも勝たせない。
12,shot-b04-03,4,01:36,01:45,9,generated_raster,artifacts/private-full-raster-candidate/images/base/shot-b04-03.jpg,1600,900,63bc3351fba0a7337e76b77ace8586a616d0bece4efed7de8ae26e5f82deaad0,1.0.0,false,false,true,false,false,動機と責任範囲を未決定のまま保つ。
13,shot-b05-01,5,01:45,01:58,13,generated_raster,artifacts/private-full-raster-candidate/images/base/shot-b05-01.jpg,1600,900,94c0b90c57bbceeba4c59c669d73dc4598308a0c574516fc95478200fa04d54d,1.0.0,false,false,true,false,false,生存、死亡、消失、潜伏のいずれも採用しない。
14,shot-b05-02,5,01:58,02:11,13,accepted_generated_raster_anchor,artifacts/high-fidelity-raster-pilot/images/shot-b05-02.jpg,1600,900,4ebf56180c1bf6ebfbcbff1ffd4a141a07e5c045645a2670ec5a776bee3374ac,1.0.0,true,false,true,false,false,activationや正解表示を行わない。
15,shot-b05-03,5,02:11,02:23,12,generated_raster,artifacts/private-full-raster-candidate/images/base/shot-b05-03.jpg,1600,900,7d76b463f9594c35c73b99d43888d6c597cdfca7248aff91c387f0fc1a2cc2a0,1.0.0,false,false,true,false,false,いずれもderived possibilityであり事実ではない。
16,shot-b05-04,5,02:23,02:35,12,deterministic_raster_composite,artifacts/private-full-raster-candidate/images/final/shot-b05-04.jpg,1600,900,a4d85ac5df664d35a65f91593b6822aba898250f8cf855738993f1c5d8cd70d2,1.0.0,false,true,true,false,false,物語世界の表示やcanon上の事実ではない。
17,shot-b06-01,6,02:35,02:44,9,deterministic_raster_composite,artifacts/private-full-raster-candidate/images/final/shot-b06-01.jpg,1600,900,3adae460a12c3a5d6dbd1a73c78b0f2078acc8105419e15e41441b84383259ed,1.0.0,false,true,true,false,false,ミラの選択を示さない。
