shot_id,source_kind,source_shot_ids,source_image_path,final_image_path,exact_byte_identity,derivative_recipe,purpose,style_contract_version,final_sha256,selected_for_final_production,rights_cleared_claim
shot-b01-01,generated_raster,shot-b01-01,artifacts/private-full-raster-candidate/images/base/shot-b01-01.jpg,artifacts/private-full-raster-candidate/images/base/shot-b01-01.jpg,false,Sharp center crop and resize from observed 1672x941 PNG to 1600x900 JPEG; quality 94; 4:4:4 chroma; mozjpeg.,駅から塔へ,1.0.0,02d383985abb9da03411f8e82db0f7bf98b6514fe49b13f163be44149cfe079e,false,false
shot-b01-02,generated_raster,shot-b01-02,artifacts/private-full-raster-candidate/images/base/shot-b01-02.jpg,artifacts/private-full-raster-candidate/images/base/shot-b01-02.jpg,false,Sharp center crop and resize from observed 1672x941 PNG to 1600x900 JPEG; quality 94; 4:4:4 chroma; mozjpeg.,空いた取付点,1.0.0,bd252485bbdb15d4d0ac722f36005e80c534e5e72b79d9a03233fb2cbd9a9c23,false,false
shot-b01-03,generated_raster,shot-b01-03,artifacts/private-full-raster-candidate/images/base/shot-b01-03.jpg,artifacts/private-full-raster-candidate/images/base/shot-b01-03.jpg,false,Sharp center crop and resize from observed 1672x941 PNG to 1600x900 JPEG; quality 94; 4:4:4 chroma; mozjpeg.,空枠と正午標,1.0.0,81908541e9eb844e7117aff49ae99839e3222336060d39b59801c41b71c9c0f5,false,false
shot-b02-01,generated_raster,shot-b02-01,artifacts/private-full-raster-candidate/images/base/shot-b02-01.jpg,artifacts/private-full-raster-candidate/images/base/shot-b02-01.jpg,false,Sharp center crop and resize from observed 1672x941 PNG to 1600x900 JPEG; quality 94; 4:4:4 chroma; mozjpeg.,時計修理台の手元,1.0.0,a53cdb8c0077615fb2005b03e26b5f7cd0400ad70d113d0a1673a578da246304,false,false
shot-b02-02,generated_raster,shot-b02-02,artifacts/private-full-raster-candidate/images/base/shot-b02-02.jpg,artifacts/private-full-raster-candidate/images/base/shot-b02-02.jpg,false,Sharp center crop and resize from observed 1672x941 PNG to 1600x900 JPEG; quality 94; 4:4:4 chroma; mozjpeg.,メモと静止した蛾,1.0.0,f9a668fd9fea3dc897caa2b41a3ca97e334dd4e7c2ca6047e160bfc76c6bba09,false,false
shot-b02-03,accepted_generated_raster_anchor,shot-b02-03,artifacts/high-fidelity-raster-pilot/images/shot-b02-03.jpg,artifacts/high-fidelity-raster-pilot/images/shot-b02-03.jpg,true,"Byte-identical accepted pilot anchor; no regeneration, overwrite, recolor, replacement, or re-encoding.",9:17と蛾の反復,1.0.0,5a2b371948dfeed3e15cbdcd81ec4de48e2d4f4db429bbea3ee021c9f74f1c31,false,false
shot-b03-01,generated_raster,shot-b03-01,artifacts/private-full-raster-candidate/images/base/shot-b03-01.jpg,artifacts/private-full-raster-candidate/images/base/shot-b03-01.jpg,false,Sharp center crop and resize from observed 1672x941 PNG to 1600x900 JPEG; quality 94; 4:4:4 chroma; mozjpeg.,台帳を開く手元,1.0.0,4dd4f97732892c79b97590a20a90e03a4dbd1350330c31cfdf499f1a45060839,false,false
shot-b03-02,generated_raster,shot-b03-02,artifacts/private-full-raster-candidate/images/base/shot-b03-02.jpg,artifacts/private-full-raster-candidate/images/base/shot-b03-02.jpg,false,Sharp center crop and resize from observed 1672x941 PNG to 1600x900 JPEG; quality 94; 4:4:4 chroma; mozjpeg.,架空の二列台帳,1.0.0,02aaff8818dbbd2bcc39d2943f38a369018b03a74f9d273eee406c93656da460,false,false
shot-b03-03,deterministic_raster_composite,shot-b03-02,artifacts/private-full-raster-candidate/images/base/shot-b03-02.jpg,artifacts/private-full-raster-candidate/images/final/shot-b03-03.jpg,false,Preserve the ledger photograph; add three deterministic paper-toned opacity washes over successive ruled regions as a visual-metaphor mask. No generated text and no literal-erasure claim.,輪郭が薄れる三段階,1.0.0,d28f599fff868a5fbc5d5bf613a98c9f935eeb768fccf3b610b1a77631400d91,false,false
shot-b04-01,accepted_generated_raster_anchor,shot-b04-01,artifacts/high-fidelity-raster-pilot/images/shot-b04-01.jpg,artifacts/high-fidelity-raster-pilot/images/shot-b04-01.jpg,true,"Byte-identical accepted pilot anchor; no regeneration, overwrite, recolor, replacement, or re-encoding.",仕切りの向こう,1.0.0,ec774118a012db4f70ee138ba0e4f8107e8abfdd98f8fb006a95c7e409b4c8d1,false,false
shot-b04-02,generated_raster,shot-b04-02,artifacts/private-full-raster-candidate/images/base/shot-b04-02.jpg,artifacts/private-full-raster-candidate/images/base/shot-b04-02.jpg,false,Sharp center crop and resize from observed 1672x941 PNG to 1600x900 JPEG; quality 94; 4:4:4 chroma; mozjpeg.,同じ重さの二説,1.0.0,a0d854fe6a39523aad612216f3205c312de9a9a8129bd472023e97206b662ddf,false,false
shot-b04-03,generated_raster,shot-b04-03,artifacts/private-full-raster-candidate/images/base/shot-b04-03.jpg,artifacts/private-full-raster-candidate/images/base/shot-b04-03.jpg,false,Sharp center crop and resize from observed 1672x941 PNG to 1600x900 JPEG; quality 94; 4:4:4 chroma; mozjpeg.,閉じた部屋と台帳,1.0.0,63bc3351fba0a7337e76b77ace8586a616d0bece4efed7de8ae26e5f82deaad0,false,false
shot-b05-01,generated_raster,shot-b05-01,artifacts/private-full-raster-candidate/images/base/shot-b05-01.jpg,artifacts/private-full-raster-candidate/images/base/shot-b05-01.jpg,false,Sharp center crop and resize from observed 1672x941 PNG to 1600x900 JPEG; quality 94; 4:4:4 chroma; mozjpeg.,未確定のトーマ候補,1.0.0,94c0b90c57bbceeba4c59c669d73dc4598308a0c574516fc95478200fa04d54d,false,false
shot-b05-02,accepted_generated_raster_anchor,shot-b05-02,artifacts/high-fidelity-raster-pilot/images/shot-b05-02.jpg,artifacts/high-fidelity-raster-pilot/images/shot-b05-02.jpg,true,"Byte-identical accepted pilot anchor; no regeneration, overwrite, recolor, replacement, or re-encoding.",真鍮の蛾と機能候補,1.0.0,4ebf56180c1bf6ebfbcbff1ffd4a141a07e5c045645a2670ec5a776bee3374ac,false,false
shot-b05-03,generated_raster,shot-b05-03,artifacts/private-full-raster-candidate/images/base/shot-b05-03.jpg,artifacts/private-full-raster-candidate/images/base/shot-b05-03.jpg,false,Sharp center crop and resize from observed 1672x941 PNG to 1600x900 JPEG; quality 94; 4:4:4 chroma; mozjpeg.,評議会の動機候補,1.0.0,7d76b463f9594c35c73b99d43888d6c597cdfca7248aff91c387f0fc1a2cc2a0,false,false
shot-b05-04,deterministic_raster_composite,shot-b05-01|shot-b05-02|shot-b05-03,artifacts/private-full-raster-candidate/images/base/shot-b05-01.jpg|artifacts/high-fidelity-raster-pilot/images/shot-b05-02.jpg|artifacts/private-full-raster-candidate/images/base/shot-b05-03.jpg,artifacts/private-full-raster-candidate/images/final/shot-b05-04.jpg,false,"Deterministic three-source raster composite using equal-width photographic crops for unresolved person, object, and institution families; no selected candidate.",三つの未解決事項,1.0.0,a4d85ac5df664d35a65f91593b6822aba898250f8cf855738993f1c5d8cd70d2,false,false
shot-b06-01,deterministic_raster_composite,shot-b03-02,artifacts/private-full-raster-candidate/images/base/shot-b03-02.jpg,artifacts/private-full-raster-candidate/images/final/shot-b06-01.jpg,false,"Reframe the ledger base and add equal-status deterministic Japanese text overlays for time and names, separated by an unresolved center.",時間と名前,1.0.0,3adae460a12c3a5d6dbd1a73c78b0f2078acc8105419e15e41441b84383259ed,false,false
shot-b06-02,deterministic_raster_composite,shot-b03-02,artifacts/private-full-raster-candidate/images/base/shot-b03-02.jpg,artifacts/private-full-raster-candidate/images/final/shot-b06-02.jpg,false,Tighter ledger callback crop with a deterministic paper-neutral lower wash and 未記入欄 overlay; no recovery or identity claim.,未記入欄を残す台帳,1.0.0,f9e9f69e8123a135e3d2c838e5d75c466958093190f833164b3bc7e673ae6ef2,false,false
shot-b06-03,deterministic_raster_composite,shot-b01-01,artifacts/private-full-raster-candidate/images/base/shot-b01-01.jpg,artifacts/private-full-raster-candidate/images/final/shot-b06-03.jpg,false,"Non-destructive tower-family callback crop with a restrained slow-pull-safe grade; no bell, cause, or resolution added.",空の鐘枠へ戻る,1.0.0,016a02f3749f1d12331cf146683a57049e85019af604bf337cc0fcac2712d3d6,false,false
