"sequence","shot_id","semantic_subject","treatment","safety"
"1","shot-b01-01","opening tower","cool archival tower grade with restrained moving shadow veil","no mechanism claim; haze does not imply activation"
"2","shot-b01-02","empty bell frame","opening callback grade with a slower opposing shadow drift","empty mounting frame remains the primary evidence"
"3","shot-b02-01","repair bench","localized bench highlight and restrained depth emphasis","no added object or factual assertion"
"4","shot-b02-02","memo and brass moth","paper shadow, warm brass separation, and controlled focal restraint","moth remains inert; no activation implication"
"5","shot-b02-03","9:17 clock","subtle moving glass/specular band over accepted parallax","no supernatural glow"
"6","shot-b03-01","memo to ledger","paper-depth vignette and slow focal movement","memo only guides investigation"
"7","shot-b03-02","ledger columns","ink contrast and restrained center-column reveal","ledger authenticity is not asserted"
"8","shot-b04-01","council chamber","cool frosted-glass drift with neutral institutional depth","council guilt is not implied"
"9","shot-b04-02","evidence limit","neutral cool restraint and softened peripheral pressure","accusation and proof remain distinct"
"10","shot-b06-01","time and name categories","symmetric equal-weight edge emphasis","neither category is selected as a winner"
"11","shot-b06-03","final tower","opening callback grade with gradual luminance and saturation restraint","case remains open; mechanism and source remain unknown"
