cue_id,beat_id,start_time,end_time,duration_seconds,text_ja,character_count,characters_per_second,line_count,line_count_budget,characters_per_line_budget,maximum_actual_characters_per_line,status,smallest_later_correction
sub-b01-01,bridge-storyboard-beat-1-bellless-tower,00:01,00:07,6,正午、鐘のない塔が鳴る。,12,2,2,2,18,9,pass,none
sub-b01-02,bridge-storyboard-beat-1-bellless-tower,00:08,00:14,6,鐘は外された、と記録にはある。,15,2.5,2,2,18,8,pass,none
sub-b01-03,bridge-storyboard-beat-1-bellless-tower,00:15,00:19,4,では、何が鳴っている？,11,2.75,2,2,18,6,pass,none
sub-b02-01,bridge-storyboard-beat-2-brass-moth,00:21,00:28,7,アーケードは毎夜9:17に閉じる。,17,2.43,2,2,18,11,pass,none
sub-b02-02,bridge-storyboard-beat-2-brass-moth,00:29,00:39,10,トーマが残したとされるメモと真鍮の蛾。,19,1.9,2,2,18,11,pass,none
sub-b02-03,bridge-storyboard-beat-2-brass-moth,00:40,00:49,9,その働きは、まだ分からない。,14,1.56,2,2,18,6,pass,none
sub-b03-01,bridge-storyboard-beat-3-erased-names,00:51,00:59,8,台帳には『分』と名前が並ぶ。,14,1.75,2,2,18,8,pass,none
sub-b03-02,bridge-storyboard-beat-3-erased-names,01:00,01:09,9,時間は、忘れられた人生から？,14,1.56,2,2,18,9,pass,none
sub-b03-03,bridge-storyboard-beat-3-erased-names,01:10,01:19,9,証拠か、誘い餌か、偽の記録か。,15,1.67,2,2,18,9,pass,none
sub-b04-01,bridge-storyboard-beat-4-council-shadow,01:21,01:28,7,メモは評議会を告発する。,12,1.71,2,2,18,7,pass,none
sub-b04-02,bridge-storyboard-beat-4-council-shadow,01:29,01:36,7,だが、台帳の真偽は未確定。,13,1.86,2,2,18,9,pass,none
sub-b04-03,bridge-storyboard-beat-4-council-shadow,01:37,01:44,7,評議会の動機：不明,9,1.29,2,2,18,7,pass,none
sub-b05-01,bridge-storyboard-beat-5-held-answers,01:46,01:55,9,トーマの運命：未解決,10,1.11,2,2,18,7,pass,none
sub-b05-02,bridge-storyboard-beat-5-held-answers,01:56,02:05,9,真鍮の蛾の機能：未解決,11,1.22,2,2,18,8,pass,none
sub-b05-03,bridge-storyboard-beat-5-held-answers,02:06,02:15,9,評議会の動機：未解決,10,1.11,2,2,18,7,pass,none
sub-b05-04,bridge-storyboard-beat-5-held-answers,02:16,02:24,8,複数の説が残っている。,11,1.38,2,2,18,6,pass,none
sub-b05-05,bridge-storyboard-beat-5-held-answers,02:25,02:34,9,どれも、まだ物語の真実ではない。,16,1.78,2,2,18,10,pass,none
sub-b06-01,bridge-storyboard-beat-6-time-or-names,02:36,02:43,7,失われた時間を戻す？,10,1.43,2,2,18,7,pass,none
sub-b06-02,bridge-storyboard-beat-6-time-or-names,02:44,02:51,7,それとも、消えた名前を返す？,14,2,2,2,18,8,pass,none
sub-b06-03,bridge-storyboard-beat-6-time-or-names,02:52,02:59,7,結末候補：時間か、名前か。,13,1.86,2,2,18,8,pass,none
