"gap_id","gap_type","previous_utterance_id","next_utterance_id","start_seconds","end_seconds","duration_seconds","contract_limit_seconds","pass"
"gap-leading","leading","","utterance-01","0","0.25","0.25","1","True"
"gap-01","between_utterances","utterance-01","utterance-02","4.420667","5.468667","1.048","5","True"
"gap-02","between_utterances","utterance-02","utterance-03","7.25","12.25","5","5","True"
"gap-03","between_utterances","utterance-03","utterance-04","20.602","24.25","3.648","5","True"
"gap-04","between_utterances","utterance-04","utterance-05","26.564667","30.188667","3.624","5","True"
"gap-05","between_utterances","utterance-05","utterance-06","33.25","38.25","5","5","True"
"gap-06","between_utterances","utterance-06","utterance-07","41.194","43.89","2.696","5","True"
"gap-07","between_utterances","utterance-07","utterance-08","47.25","52.25","5","5","True"
"gap-08","between_utterances","utterance-08","utterance-09","56.911333","57.854667","0.943334","5","True"
"gap-09","between_utterances","utterance-09","utterance-10","60.5","65.426","4.926","5","True"
"gap-10","between_utterances","utterance-10","utterance-11","69.266","74.266","5","5","True"
"gap-11","between_utterances","utterance-11","utterance-12","76.25","81.25","5","5","True"
"gap-12","between_utterances","utterance-12","utterance-13","85.378","86.964","1.586","5","True"
"gap-13","between_utterances","utterance-13","utterance-14","92.5","97.25","4.75","5","True"
"gap-14","between_utterances","utterance-14","utterance-15","101.495333","104.681333","3.186","5","True"
"gap-15","between_utterances","utterance-15","utterance-16","107.316","112.316","5","5","True"
"gap-16","between_utterances","utterance-16","utterance-17","115.473333","120.473333","5","5","True"
"gap-17","between_utterances","utterance-17","utterance-18","123.652","128.652","5","5","True"
"gap-18","between_utterances","utterance-18","utterance-19","131.5","136.25","4.75","5","True"
"gap-19","between_utterances","utterance-19","utterance-20","148.804667","152.830666","4.025999","5","True"
"gap-20","between_utterances","utterance-20","utterance-21","157.193333","162.193333","5","5","True"
"gap-21","between_utterances","utterance-21","utterance-22","166.929333","171.929333","5","5","True"
"gap-final","final_tail","utterance-22","","174.5","180","5.5","6","True"
