"utterance_id","section_id","shot_id","spoken_text_en","text_ja_debug","source_fact_ids","claim_type","evidential_status","word_count","audio_start_seconds","audio_end_seconds","caption_start_seconds","caption_end_seconds","audio_sha256"
"cd-en-001","case-digest-section-01-incident","shot-b01-01","At noon, witnesses reported hearing a bell from a tower that has no bell.","正午、鐘のない塔から鐘の音がしたと、目撃者たちが証言した。","case-digest-section-01-incident.what_happened","reported_observation","reported","14","0.65","5.056","0.65","5.256","9edf19a978668cf413b7cc7fc39c7a923a141059180409b5e9890c0bdc3ef3bd"
"cd-en-002","case-digest-section-01-incident","shot-b01-01","The mounting frame was empty, with no instrument there that could make the sound.","塔の取付枠は空で、その音を出せる楽器は何も置かれていなかった。","case-digest-section-01-incident.evidence_or_observation","observed_condition","established","14","7.228","11.52","7.228","11.72","e4cd8a3f0d4345375d9af130ac3135aa02a76f737000d8ee2d1707a863fd69c2"
"cd-en-003","case-digest-section-01-incident","shot-b01-02","The empty frame can be verified, but no bell or other sound-making device has been found.","空の取付枠は確認できるが、鐘も他の発音装置も見つかっていない。","case-digest-section-01-incident.evidence_or_observation|case-digest-section-01-incident.evidential_limit","observation_with_limit","bounded","16","13.692","18.981","13.692","19.181","50c885b61d85232321461702bd3db7a790877702281f3619c8b16f75f476c48e"
"cd-en-004","case-digest-section-01-incident","shot-b01-02","What produced the sound is still unknown.","何が音を生んだのかは、今も不明だ。","case-digest-section-01-incident.evidential_limit","evidential_limit","unconfirmed","7","21.153","23.3","21.153","23.5","2d3d2c8a13dbe98389be9030a9ecbc16ebec9c0b657bd024fb462a9363baf8f2"
"cd-en-005","case-digest-section-02-investigator","shot-b02-01","Clock repairer Mira is following a trail of clues that may relate to her missing brother.","時計修理師のミラは、失踪した兄に関係するかもしれない一連の手掛かりを追っている。","case-digest-section-02-investigator.what_happened","investigator_identity","established","16","24.65","29.199","24.65","29.399","79cbb32edf15b59c2748c0ba1d36c5c4b1bcaccbf2ab11a85f0dfcd13eb084dc"
"cd-en-006","case-digest-section-02-investigator","shot-b02-01","Among the workshop materials is a handwritten note said to have come from him.","作業場の品々の中には、兄が残したとされる手書きのメモがあった。","case-digest-section-02-investigator.text_ja","reported_clue","attributed_not_authenticated","14","33.605","37.572","33.605","37.772","81c385bbce3f58a5205a6d5da9d879dbde59a290cec945f25a6de5e5f57f85e8"
"cd-en-007","case-digest-section-02-investigator","shot-b02-02","A brass moth lies beside it, though no one knows what the object was meant for.","そのそばには真鍮の蛾があるが、何のために作られた物かは分かっていない。","case-digest-section-02-investigator.evidence_or_observation|recurring-element-continuity.brass_moth.evidential_limit","clue_with_limit","meaning_unconfirmed","16","41.978","46.631","41.978","46.831","903d57b27ffff32b91c0498453c2da19a017358b86cfee86df44efea369fbb4a"
"cd-en-008","case-digest-section-02-investigator","shot-b02-03","The time nine seventeen recurs in clocks and records, alongside the note and moth.","九時十七分という時刻が、メモや蛾とともに時計や記録へ繰り返し現れる。","case-digest-section-02-investigator.evidence_or_observation","clue_chain","established_pattern","14","51.037","55.989","51.037","56.189","43a88ba2810f9d2e19427be595352ac3d96bfc9c5df0595aab346d920fc00227"
"cd-en-009","case-digest-section-02-investigator","shot-b02-03","Together they form a pattern, but not proof of where her brother is.","それらは一つのパターンを作るが、兄の居場所を示す証拠ではない。","case-digest-section-02-investigator.evidential_limit","evidential_limit","location_unconfirmed","13","60.395","64.3","60.395","64.5","31f02a441864a9e9b68832d34925aca82dcbe2af11b7d98ede9ce6b17f5b030f"
"cd-en-010","case-digest-section-03-ledger","shot-b03-01","The note leads Mira to a ledger divided into two columns.","メモはミラを、二列に分かれた台帳へ導く。","case-digest-section-03-ledger.what_happened|case-digest-caption-06","investigative_link","established","11","65.65","68.87","65.65","69.07","71705839d4c28266a04968d44b5d8b2c5fb2ce201b51430bee8e28a4f6e2e38f"
"cd-en-011","case-digest-section-03-ledger","shot-b03-01","One column lists minutes; the other column lists people's names.","一方の欄には分が、もう一方の欄には人名が並ぶ。","case-digest-section-03-ledger.evidence_or_observation","record_structure","established","10","73.322","77.357","73.322","77.557","a4d1e0239f5607966465cb2a6d27a6afc854b549215abc7bb35de58ba2e48103"
"cd-en-012","case-digest-section-03-ledger","shot-b03-02","The pages show that structure, but they do not show the ledger causing anything.","ページから分かるのはその構造だけで、台帳が何かを引き起こすとは示していない。","case-digest-section-03-ledger.text_ja|case-digest-section-03-ledger.evidential_limit","record_with_limit","bounded","14","81.809","86.198","81.809","86.398","e587463d7504bf8358c74d2db0e4fbe0cc12683da7d8268c525ad1501e7a6766"
"cd-en-013","case-digest-section-03-ledger","shot-b03-02","There is no proof that it steals time, makes people disappear, or records real losses.","台帳が時間を奪い、人を消し、実在の損失を記すという証拠はない。","case-digest-section-03-ledger.evidential_limit|case-digest-section-04-council.evidential_limit","causal_limit","unproven","15","90.65","96.3","90.65","96.5","0d7a96188e3143be466b3832dc51f2d289d593ba5765ff0dfbcf73af9e1cd5ae"
"cd-en-014","case-digest-section-04-council","shot-b04-01","The note also turns Mira's investigation toward the city council.","メモはさらに、ミラの調査を市の評議会へ向ける。","case-digest-section-04-council.what_happened","allegation_direction","recorded_allegation","10","97.65","101.335","97.65","101.535","54464373ce516fdaccd308d7c0e2126d3512748311270baa69102bce377f224a"
"cd-en-015","case-digest-section-04-council","shot-b04-01","The accusation raises suspicion, but it does not prove that the council was involved.","告発は疑いを生むが、評議会の関与を証明するものではない。","case-digest-section-04-council.evidence_or_observation|case-digest-section-04-council.evidential_limit","allegation_with_limit","unconfirmed","14","105.475","110.325","105.475","110.525","a926c759b6ce2ac9b740bb4e179c1e58f055608325e1ae8cf6123a0aef0dca0b"
"cd-en-016","case-digest-section-04-council","shot-b04-02","No one knows where the ledger came from or whether it is genuine.","台帳がどこから来たのか、真正な物なのかは分かっていない。","case-digest-section-04-council.evidential_limit","authenticity_limit","unverified","13","114.465","117.684","114.465","117.884","47ad7a4621daf21720a9e809fd0ae83b3219f423c1d8f957a35fe3e1f2f9c8a1"
"cd-en-017","case-digest-section-04-council","shot-b04-02","The evidence leaves the council's possible role and motive equally unclear.","証拠を見ても、評議会の役割や動機はやはり分からない。","case-digest-section-04-council.text_ja","responsibility_limit","unproven","11","121.824","125.771","121.824","125.971","a918ffbefca28a07b880ff9ce1f1f1e32b304d302b9729b512328a112a288359"
"cd-en-018","case-digest-section-04-council","shot-b04-02","No known link connects the council to the ledger, the missing brother, or the tower incident.","評議会を台帳、失踪した兄、塔の事件へ結ぶ既知のつながりはない。","case-digest-section-04-council.text_ja|case-digest-section-05-status.evidential_limit","mechanism_limit","unconfirmed","16","129.911","135.299","129.911","135.499","c31a26adb841e7098d0796797f4f5aa26202e3aace47dfe98a970fe646974da4"
"cd-en-019","case-digest-section-05-status","shot-b06-01","What is known is the empty frame, the report of a bell, the note, brass moth, nine seventeen, and two-column ledger.","分かっているのは、空の取付枠と鐘の報告、そしてメモ、蛾、九時十七分、二列の台帳だ。","case-digest-section-05-status.evidence_or_observation","confirmed_inventory","established","21","136.65","144.748","136.65","144.948","9b5cf0b45dbc276f7001e9ac97c014fb78f65bbea12f4abd8f09429ce6ae98ea"
"cd-en-020","case-digest-section-05-status","shot-b06-01","The note, moth, and repeated time form a trail through the evidence.","メモ、蛾、繰り返す時刻は、証拠の中に一つの道筋を作る。","case-digest-section-02-investigator.evidence_or_observation|case-digest-section-05-status.evidence_or_observation","clue_chain_summary","established_pattern","12","148.229","151.944","148.229","152.144","a5b5f965ddf3486aa453d076c500bda202fe2cdf42fc89d668eac596541ccaf4"
"cd-en-021","case-digest-section-05-status","shot-b06-01","The ledger's meaning and any power behind it are still unknown.","台帳が何を意味し、何らかの力を持つのかは、今も分かっていない。","case-digest-section-03-ledger.evidential_limit|case-digest-section-05-status.text_ja","ledger_status_limit","bounded","11","155.425","158.595","155.425","158.795","1abf5de2433fd5060629f3b44d4918195c77e939fe409c385422ff46c4cc5b30"
"cd-en-022","case-digest-section-05-status","shot-b06-03","The bell's source and Mira's brother's location have not been found.","鐘の音源も、ミラの兄の居場所も見つかっていない。","case-digest-section-05-status.evidential_limit","status_limit","unconfirmed","11","162.076","165.542","162.076","165.742","0f2d5d893d4160d1ee67146a8a156844276245826ba7d1a435a268e5f1a6b443"
"cd-en-023","case-digest-section-05-status","shot-b06-03","No evidence yet connects the council to the ledger or the tower incident.","評議会を台帳や塔の事件へ結ぶ証拠は、まだない。","case-digest-section-05-status.evidential_limit","status_limit","unconfirmed","13","169.023","172.691","169.023","172.891","45726f3213406d69ee1839ed420f6446c8e2895ddf3247e9d7ff844feec9951e"
"cd-en-024","case-digest-section-05-status","shot-b06-03","For now, the tower remains under investigation.","今も塔の調査は続いている。","case-digest-section-05-status.what_happened|case-digest-section-05-status.connection_to_next_section","case_status","open_investigation","7","176.172","179.299","176.172","179.499","d6fa2bd554250061a355dae66bc19490d5b7ea15f68a3509ef7932d9f0eb4918"
