"utterance_id","required_repair","revised_word_count","grammatical_fragment_count","translated_syntax_count","legal_report_phrase_count","abstract_causal_noun_count","repeated_adjacent_caveat_count","first_listen_issue_count","principal_fact_count","passed"
"cd-en-001","False","14","0","0","0","0","0","0","1","True"
"cd-en-002","False","14","0","0","0","0","0","0","1","True"
"cd-en-003","True","16","0","0","0","0","0","0","1","True"
"cd-en-004","False","7","0","0","0","0","0","0","1","True"
"cd-en-005","False","16","0","0","0","0","0","0","1","True"
"cd-en-006","False","14","0","0","0","0","0","0","1","True"
"cd-en-007","False","16","0","0","0","0","0","0","1","True"
"cd-en-008","False","14","0","0","0","0","0","0","1","True"
"cd-en-009","False","13","0","0","0","0","0","0","1","True"
"cd-en-010","False","11","0","0","0","0","0","0","1","True"
"cd-en-011","False","10","0","0","0","0","0","0","1","True"
"cd-en-012","True","14","0","0","0","0","0","0","1","True"
"cd-en-013","False","15","0","0","0","0","0","0","1","True"
"cd-en-014","False","10","0","0","0","0","0","0","1","True"
"cd-en-015","True","14","0","0","0","0","0","0","1","True"
"cd-en-016","False","13","0","0","0","0","0","0","1","True"
"cd-en-017","True","11","0","0","0","0","0","0","1","True"
"cd-en-018","False","16","0","0","0","0","0","0","1","True"
"cd-en-019","True","21","0","0","0","0","0","0","1","True"
"cd-en-020","True","12","0","0","0","0","0","0","1","True"
"cd-en-021","True","11","0","0","0","0","0","0","1","True"
"cd-en-022","False","11","0","0","0","0","0","0","1","True"
"cd-en-023","False","13","0","0","0","0","0","0","1","True"
"cd-en-024","False","7","0","0","0","0","0","0","1","True"
