semantic_unit_id,beat_id,start_seconds,end_seconds,text_ja,truth_status,shot_ids,binding_level,provisional_until_voice_calibration,final_for_voice,character_count,characters_per_second,line_break_hint,readability_status
production-subtitle-01,bridge-storyboard-beat-1-bellless-tower,1,7,正午、空の塔が鳴る。,reported,shot-b01-01,L1_subject_bound,true,false,10,1.67,正午、空の塔が鳴る。,pass
production-subtitle-02,bridge-storyboard-beat-1-bellless-tower,8,14,鐘は冬に外された。,reported,shot-b01-02,L1_subject_bound,true,false,9,1.5,鐘は冬に外された。,pass
production-subtitle-03,bridge-storyboard-beat-1-bellless-tower,15,19,枠の中は空だ。,observed,shot-b01-03,L1_subject_bound,true,false,7,1.75,枠の中は空だ。,pass
production-subtitle-04,bridge-storyboard-beat-2-brass-moth,21,28,時計修理師ミラ・ヴェイル。,established,shot-b02-01,L1_subject_bound,true,false,13,1.86,時計修理師ミラ・ヴェイル。,pass
production-subtitle-05,bridge-storyboard-beat-2-brass-moth,29,39,兄トーマのメモと真鍮の蛾。,reported,shot-b02-01|shot-b02-02,L1_subject_bound,true,false,13,1.3,兄トーマのメモと真鍮の蛾。,pass
production-subtitle-06,bridge-storyboard-beat-2-brass-moth,40,49,9:17が繰り返し現れる。,observed,shot-b02-03,L1_subject_bound,true,false,13,1.44,9:17が繰り返し現れる。,pass
production-subtitle-07,bridge-storyboard-beat-3-erased-names,51,59,メモは台帳を指す。,reported,shot-b03-01,L1_subject_bound,true,false,9,1.13,メモは台帳を指す。,pass
production-subtitle-08,bridge-storyboard-beat-3-erased-names,60,69,『分』と名前が並ぶ。,observed,shot-b03-02,L1_subject_bound,true,false,10,1.11,『分』と名前が並ぶ。,pass
production-subtitle-09,bridge-storyboard-beat-3-erased-names,70,79,文字の輪郭が薄れている。,suspected,shot-b03-03,L1_subject_bound,true,false,12,1.33,文字の輪郭が薄れている。,pass
production-subtitle-10,bridge-storyboard-beat-4-council-shadow,81,88,メモは評議会を告発する。,reported,shot-b04-01,L1_subject_bound,true,false,12,1.71,メモは評議会を告発する。,pass
production-subtitle-11,bridge-storyboard-beat-4-council-shadow,89,96,台帳の出所は確かでない。,observed,shot-b04-02,L1_subject_bound,true,false,12,1.71,台帳の出所は確かでない。,pass
production-subtitle-12,bridge-storyboard-beat-4-council-shadow,97,104,評議会の責任は示されない。,unresolved,shot-b04-03,L1_subject_bound,true,false,13,1.86,評議会の責任は示されない。,pass
production-subtitle-13,bridge-storyboard-beat-5-held-answers,106,115,トーマの所在は記録にない。,unresolved,shot-b05-01,L1_subject_bound,true,false,13,1.44,トーマの所在は記録にない。,pass
production-subtitle-14,bridge-storyboard-beat-5-held-answers,116,125,蛾が動いた記録はない。,observed,shot-b05-01|shot-b05-02,L1_subject_bound,true,false,11,1.22,蛾が動いた記録はない。,pass
production-subtitle-15,bridge-storyboard-beat-5-held-answers,126,135,評議会の動機は断定できない。,unresolved,shot-b05-02|shot-b05-03,L1_subject_bound,true,false,14,1.56,評議会の動機は断定できない。,pass
production-subtitle-16,bridge-storyboard-beat-5-held-answers,136,144,三つの手掛かりが一つの調査へ重なる。,suspected,shot-b05-03|shot-b05-04,L1_subject_bound,true,false,18,2.25,三つの手掛かりが一つの調査へ重なる。,pass
production-subtitle-17,bridge-storyboard-beat-5-held-answers,145,154,残る焦点は仕組みと関与だ。,suspected,shot-b05-04,L1_subject_bound,true,false,13,1.44,残る焦点は仕組みと関与だ。,pass
production-subtitle-18,bridge-storyboard-beat-6-time-or-names,156,163,時間を戻す道。,suspected,shot-b06-01,L1_subject_bound,true,false,7,1,時間を戻す道。,pass
production-subtitle-19,bridge-storyboard-beat-6-time-or-names,164,171,名前を戻す道。,suspected,shot-b06-02,L1_subject_bound,true,false,7,1,名前を戻す道。,pass
production-subtitle-20,bridge-storyboard-beat-6-time-or-names,172,179,ミラは、どちらを先に救うか選ぶ。,unresolved,shot-b06-03,L1_subject_bound,true,false,16,2.29,ミラは、どちらを先に救うか選ぶ。,pass
