semantic_unit_id,beat_id,start_seconds,end_seconds,text_ja,claim_type,truth_status,visual_subject_ids,shot_ids,binding_level,character_count,characters_per_second,line_break_hint,readability_status
clarity-cap-b01-01,bridge-storyboard-beat-1-bellless-tower,1,7,正午、鐘を失った塔から鐘の音が響く。,observation,reported,tower|bell-sound,shot-b01-01,L1_subject_bound,18,3,正午、鐘を失った塔から鐘の音が響く。,pass
clarity-cap-b01-02,bridge-storyboard-beat-1-bellless-tower,8,14,記録では、鐘は冬の外出禁止令のころに外された。,fact,reported,empty-bell-frame|removal-record,shot-b01-02,L1_subject_bound,23,3.83,記録では、鐘は冬の外出禁｜止令のころに外された。,pass
clarity-cap-b01-03,bridge-storyboard-beat-1-bellless-tower,15,19,空の取付枠には、音を生む物が見当たらない。,observation,observed,empty-bell-frame,shot-b01-03,L1_subject_bound,21,5.25,空の取付枠には、音を生｜む物が見当たらない。,pass
clarity-cap-b02-01,bridge-storyboard-beat-2-brass-moth,21,28,時計修理師ミラ・ヴェイルは、ガラスのアーケードで働く。,fact,established,mira|clock-workbench,shot-b02-01,L1_subject_bound,27,3.86,時計修理師ミラ・ヴェイルは、｜ガラスのアーケードで働く。,pass
clarity-cap-b02-02,bridge-storyboard-beat-2-brass-moth,29,39,失踪した兄トーマのメモと真鍮の蛾が、ミラの引き出しに残る。,observation,reported,mira|toma-memo|brass-moth,shot-b02-01|shot-b02-02,L1_subject_bound,29,2.9,失踪した兄トーマのメモと真鍮の｜蛾が、ミラの引き出しに残る。,pass
clarity-cap-b02-03,bridge-storyboard-beat-2-brass-moth,40,49,9:17は閉店記録と時計に繰り返し現れる。,observation,observed,clock-0917|brass-moth,shot-b02-03,L1_subject_bound,21,2.33,9:17は閉店記録と時｜計に繰り返し現れる。,pass
clarity-cap-b03-01,bridge-storyboard-beat-3-erased-names,51,59,トーマのメモは、市の評議会に接点を持つ台帳を指す。,fact,reported,toma-memo|ledger|council,shot-b03-01,L1_subject_bound,25,3.13,トーマのメモは、市の評議会｜に接点を持つ台帳を指す。,pass
clarity-cap-b03-02,bridge-storyboard-beat-3-erased-names,60,69,台帳には『分』の欄と、人の名前を記す欄が並ぶ。,observation,observed,ledger-minute-column|ledger-name-column,shot-b03-02,L1_subject_bound,23,2.56,台帳には『分』の欄と、人｜の名前を記す欄が並ぶ。,pass
clarity-cap-b03-03,bridge-storyboard-beat-3-erased-names,70,79,薄れる文字は記録の消失を示唆するが、消去の証明ではない。,inference,suspected,fading-record,shot-b03-03,L1_subject_bound,28,3.11,薄れる文字は記録の消失を示唆｜するが、消去の証明ではない。,pass
clarity-cap-b04-01,bridge-storyboard-beat-4-council-shadow,81,88,トーマのメモは、評議会が時間を売ると告発する。,allegation,reported,toma-memo|council,shot-b04-01,L1_subject_bound,23,3.29,トーマのメモは、評議会が｜時間を売ると告発する。,pass
clarity-cap-b04-02,bridge-storyboard-beat-4-council-shadow,89,96,台帳の出所が確かでないため、告発の裏付けは成立していない。,observation,observed,ledger|council,shot-b04-02,L1_subject_bound,29,4.14,台帳の出所が確かでないため、告｜発の裏付けは成立していない。,pass
clarity-cap-b04-03,bridge-storyboard-beat-4-council-shadow,97,104,評議会が利益を得たのか、圧力を受けたのかは記録にない。,inference,unresolved,council|ledger,shot-b04-03,L1_subject_bound,27,3.86,評議会が利益を得たのか、圧力｜を受けたのかは記録にない。,pass
clarity-cap-b05-01,bridge-storyboard-beat-5-held-answers,106,115,トーマの失踪には複数の説明が残り、所在を示す記録はない。,observation,unresolved,toma,shot-b05-01,L1_subject_bound,28,3.11,トーマの失踪には複数の説明が｜残り、所在を示す記録はない。,pass
clarity-cap-b05-02,bridge-storyboard-beat-5-held-answers,116,125,真鍮の蛾には加工と機構があるが、作動した記録は示されない。,observation,observed,brass-moth,shot-b05-01|shot-b05-02,L1_subject_bound,29,3.22,真鍮の蛾には加工と機構があるが｜、作動した記録は示されない。,pass
