scope,subject_id,status,criteria_count,criterion_ids,evidence,owner,next_move
global,fff-content-production-blueprint-001,pass,13,global-identity|global-runtime|global-counts|global-locked|global-bounded|global-vocabulary|global-assets|global-rights|global-gates|global-profile|global-wording|global-freedom|global-integrity,"identity, source, profile, vocabulary, boundary, and package integrity gates",production_blueprint_operator,none
beat,bridge-storyboard-beat-1-bellless-tower,warn,10,beat-primary-goal|beat-support-limit|beat-timing|beat-inventory|beat-narration-metric|beat-motif|beat-palette|beat-truth|beat-roles|beat-narration-pace,20s; 3 shots; 3 subtitles; narration 4.7 chars/s,editorial_production_operator,Later voice rehearsal: adjust pause density or authorize a narrow wording review only if delivery remains overloaded; do not rewrite in this slice.
beat,bridge-storyboard-beat-2-brass-moth,pass,10,beat-primary-goal|beat-support-limit|beat-timing|beat-inventory|beat-narration-metric|beat-motif|beat-palette|beat-truth|beat-roles|beat-narration-pace,30s; 3 shots; 3 subtitles; narration 4.23 chars/s,editorial_production_operator,none
beat,bridge-storyboard-beat-3-erased-names,warn,10,beat-primary-goal|beat-support-limit|beat-timing|beat-inventory|beat-narration-metric|beat-motif|beat-palette|beat-truth|beat-roles|beat-narration-pace,30s; 3 shots; 3 subtitles; narration 4.6 chars/s,editorial_production_operator,Later voice rehearsal: adjust pause density or authorize a narrow wording review only if delivery remains overloaded; do not rewrite in this slice.
beat,bridge-storyboard-beat-4-council-shadow,warn,10,beat-primary-goal|beat-support-limit|beat-timing|beat-inventory|beat-narration-metric|beat-motif|beat-palette|beat-truth|beat-roles|beat-narration-pace,25s; 3 shots; 3 subtitles; narration 4.64 chars/s,editorial_production_operator,Later voice rehearsal: adjust pause density or authorize a narrow wording review only if delivery remains overloaded; do not rewrite in this slice.
beat,bridge-storyboard-beat-5-held-answers,pass,10,beat-primary-goal|beat-support-limit|beat-timing|beat-inventory|beat-narration-metric|beat-motif|beat-palette|beat-truth|beat-roles|beat-narration-pace,50s; 4 shots; 5 subtitles; narration 3.78 chars/s,editorial_production_operator,none
beat,bridge-storyboard-beat-6-time-or-names,warn,10,beat-primary-goal|beat-support-limit|beat-timing|beat-inventory|beat-narration-metric|beat-motif|beat-palette|beat-truth|beat-roles|beat-narration-pace,25s; 3 shots; 3 subtitles; narration 4.56 chars/s,editorial_production_operator,Later voice rehearsal: adjust pause density or authorize a narrow wording review only if delivery remains overloaded; do not rewrite in this slice.
shot,shot-b01-01,pass,15,shot-required-fields|shot-timing|shot-composition|shot-scale|shot-motion|shot-transition|shot-occupancy|shot-focal-zone|shot-asset-quantity|shot-overlay|shot-truth|shot-asset-rights|shot-palette|shot-information|shot-visual-control,7s; environment_establishing; wide; occupancy 20-45%,shot_planner,none
shot,shot-b01-02,pass,15,shot-required-fields|shot-timing|shot-composition|shot-scale|shot-motion|shot-transition|shot-occupancy|shot-focal-zone|shot-asset-quantity|shot-overlay|shot-truth|shot-asset-rights|shot-palette|shot-information|shot-visual-control,7s; object_detail; close; occupancy 35-60%,shot_planner,none
shot,shot-b01-03,pass,15,shot-required-fields|shot-timing|shot-composition|shot-scale|shot-motion|shot-transition|shot-occupancy|shot-focal-zone|shot-asset-quantity|shot-overlay|shot-truth|shot-asset-rights|shot-palette|shot-information|shot-visual-control,6s; closing_question; medium; occupancy 25-45%,shot_planner,none
