shot_id,sequence,beat_number,title_ja,start_time,end_time,duration_seconds,requirement_ids,canonical_reference_ids,assignment_ids
shot-b01-01,1,1,駅から塔へ,00:00,00:07,7,AR-ENV-01|AR-AUDIO-01,ref-w1-b01-s01-kreiensen-station|ref-w1-b01-s01-harvard-observatory,shot-b01-01:main:ref-w1-b01-s01-kreiensen-station|shot-b01-01:support:ref-w1-b01-s01-harvard-observatory
shot-b01-02,2,1,空いた取付点,00:07,00:14,7,AR-ENV-01|AR-AUDIO-01,ref-w1-b01-s02-wood-joints|ref-w1-b01-s02-beam-junction,shot-b01-02:main:ref-w1-b01-s02-wood-joints|shot-b01-02:support:ref-w1-b01-s02-beam-junction
shot-b01-03,3,1,空枠と正午標,00:14,00:20,6,AR-ENV-01|AR-TYPE-01|AR-AUDIO-01,ref-w1-b01-s03-belfry-interior-art|ref-w1-b01-s03-noon-mark,shot-b01-03:main:ref-w1-b01-s03-belfry-interior-art|shot-b01-03:support:ref-w1-b01-s03-noon-mark
shot-b02-01,4,2,時計修理台の手元,00:20,00:30,10,AR-CHAR-01|AR-PROP-01|AR-AUDIO-01,ref-b02-s01-precision-handwork|ref-b02-s01-watch-repair-workbench,shot-b02-01:main:ref-b02-s01-precision-handwork|shot-b02-01:support:ref-b02-s01-watch-repair-workbench
shot-b02-02,5,2,メモと静止した蛾,00:30,00:40,10,AR-PROP-02|AR-PROP-03|AR-AUDIO-01,ref-b02-s02-aged-handwritten-letter|ref-b02-s02-metal-butterfly-brooch,shot-b02-02:main:ref-b02-s02-aged-handwritten-letter|shot-b02-02:support:ref-b02-s02-metal-butterfly-brooch
shot-b02-03,6,2,9:17と蛾の反復,00:40,00:50,10,AR-PROP-01|AR-PROP-02|AR-AUDIO-01,ref-b02-s03-vintage-watch-0915|ref-b02-s02-metal-butterfly-brooch|ref-b02-s03-brass-clock-dial,shot-b02-03:main:ref-b02-s03-vintage-watch-0915|shot-b02-03:support:ref-b02-s02-metal-butterfly-brooch|shot-b02-03:support:ref-b02-s03-brass-clock-dial
shot-b03-01,7,3,台帳を開く手元,00:50,01:00,10,AR-CHAR-01|AR-DOC-01|AR-AUDIO-01,ref-w1-b03-s01-page-turning|ref-w1-b03-s01-book-in-hand,shot-b03-01:main:ref-w1-b03-s01-page-turning|shot-b03-01:support:ref-w1-b03-s01-book-in-hand
shot-b03-02,8,3,架空の二列台帳,01:00,01:10,10,AR-DOC-01|AR-TYPE-01|AR-AUDIO-01,ref-w1-b03-s02-blank-book|ref-w1-b03-s02-ledger-geometry,shot-b03-02:main:ref-w1-b03-s02-blank-book|shot-b03-02:support:ref-w1-b03-s02-ledger-geometry
shot-b03-03,9,3,輪郭が薄れる三段階,01:10,01:20,10,AR-ABS-01|AR-AUDIO-01,ref-w1-b03-s03-old-paper|ref-w1-b03-s03-ink-stains,shot-b03-03:main:ref-w1-b03-s03-old-paper|shot-b03-03:support:ref-w1-b03-s03-ink-stains
shot-b04-01,10,4,仕切りの向こう,01:20,01:28,8,AR-ENV-02|AR-CHAR-02|AR-AUDIO-01,ref-b04-s01-conference-backs|ref-b04-s01-frosted-partition,shot-b04-01:main:ref-b04-s01-conference-backs|shot-b04-01:support:ref-b04-s01-frosted-partition
