"asset_id","asset_role","source_path","source_sha256","output_path","transformation","rights_compatibility","provenance_state","credits_required","legal_conclusion"
"shot-b01-01","picture_lock_visual","artifacts/private-full-raster-candidate/images/base/shot-b01-01.jpg","02d383985abb9da03411f8e82db0f7bf98b6514fe49b13f163be44149cfe079e","picture/case-digest-picture-lock.mp4","existing_accepted_editorial_treatment_only","not_reviewed","documented_source_identity","yes","none"
"shot-b01-02","picture_lock_visual","artifacts/private-full-raster-candidate/images/base/shot-b01-02.jpg","bd252485bbdb15d4d0ac722f36005e80c534e5e72b79d9a03233fb2cbd9a9c23","picture/case-digest-picture-lock.mp4","existing_accepted_editorial_treatment_only","not_reviewed","documented_source_identity","yes","none"
"shot-b02-01","picture_lock_visual","artifacts/private-full-raster-candidate/images/base/shot-b02-01.jpg","a53cdb8c0077615fb2005b03e26b5f7cd0400ad70d113d0a1673a578da246304","picture/case-digest-picture-lock.mp4","existing_accepted_editorial_treatment_only","not_reviewed","documented_source_identity","yes","none"
"shot-b02-02","picture_lock_visual","artifacts/private-full-raster-candidate/images/base/shot-b02-02.jpg","f9a668fd9fea3dc897caa2b41a3ca97e334dd4e7c2ca6047e160bfc76c6bba09","picture/case-digest-picture-lock.mp4","existing_accepted_editorial_treatment_only","not_reviewed","documented_source_identity","yes","none"
"shot-b02-03","picture_lock_visual","artifacts/high-fidelity-raster-pilot/images/shot-b02-03.jpg","5a2b371948dfeed3e15cbdcd81ec4de48e2d4f4db429bbea3ee021c9f74f1c31","picture/case-digest-picture-lock.mp4","existing_accepted_editorial_treatment_only","not_reviewed","documented_source_identity","yes","none"
"shot-b03-01","picture_lock_visual","artifacts/private-full-raster-candidate/images/base/shot-b03-01.jpg","4dd4f97732892c79b97590a20a90e03a4dbd1350330c31cfdf499f1a45060839","picture/case-digest-picture-lock.mp4","existing_accepted_editorial_treatment_only","not_reviewed","documented_source_identity","yes","none"
"shot-b03-02","picture_lock_visual","artifacts/private-full-raster-candidate/images/base/shot-b03-02.jpg","02aaff8818dbbd2bcc39d2943f38a369018b03a74f9d273eee406c93656da460","picture/case-digest-picture-lock.mp4","existing_accepted_editorial_treatment_only","not_reviewed","documented_source_identity","yes","none"
"shot-b04-01","picture_lock_visual","artifacts/high-fidelity-raster-pilot/images/shot-b04-01.jpg","ec774118a012db4f70ee138ba0e4f8107e8abfdd98f8fb006a95c7e409b4c8d1","picture/case-digest-picture-lock.mp4","existing_accepted_editorial_treatment_only","not_reviewed","documented_source_identity","yes","none"
"shot-b04-02","picture_lock_visual","artifacts/private-full-raster-candidate/images/base/shot-b04-02.jpg","a0d854fe6a39523aad612216f3205c312de9a9a8129bd472023e97206b662ddf","picture/case-digest-picture-lock.mp4","existing_accepted_editorial_treatment_only","not_reviewed","documented_source_identity","yes","none"
"shot-b06-01","picture_lock_visual","artifacts/private-full-raster-candidate/images/final/shot-b06-01.jpg","3adae460a12c3a5d6dbd1a73c78b0f2078acc8105419e15e41441b84383259ed","picture/case-digest-picture-lock.mp4","existing_accepted_editorial_treatment_only","not_reviewed","documented_source_identity","yes","none"
"shot-b06-03","picture_lock_visual","artifacts/private-full-raster-candidate/images/final/shot-b06-03.jpg","016a02f3749f1d12331cf146683a57049e85019af604bf337cc0fcac2712d3d6","picture/case-digest-picture-lock.mp4","existing_accepted_editorial_treatment_only","not_reviewed","documented_source_identity","yes","none"
"canonical_english_script","script","artifacts/case-digest-english-editorial-naturalness/revised-bilingual-utterance-authority.json","2231a7c3659da5569dbb3fbe00db443ce40efeca2283c6d16468d1cb3ac1022a","voice-input/utterance-delivery-map.csv","none","project_authored_not_legally_reviewed","documented","no","none"
"caption_en","subtitle","source-run/youtube/case-digest.en.srt","0c0be8ede8faf4b2baaedc2b852fa9b0fbea151a35bcb8bd6e1f99c5724ac2e0","captions/case-digest.en.srt","byte_copy","project_authored_not_legally_reviewed","documented","no","none"
"caption_ja","debug_subtitle","source-run/youtube/case-digest.ja.srt","01bb9501f3ddb1a54108014fcf4115413bf71aae6ea5e055f3afe320f737496d","captions/case-digest.ja.srt","byte_copy","project_authored_not_legally_reviewed","documented","no","none"
"thumbnail","private_thumbnail","artifacts/private-full-raster-candidate/images/base/shot-b03-01.jpg","4dd4f97732892c79b97590a20a90e03a4dbd1350330c31cfdf499f1a45060839","thumbnail/case-digest-thumbnail.jpg","scale_crop_dark_band_title_overlay","not_reviewed","documented_source_identity","yes","none"
"voice_input","narration_placeholder","voice-input/accepted-take/","","release/*","awaiting_input","unknown_fail_closed","input_required","yes","none"
"font_arial_bold","thumbnail_title_font","windows-fonts/arialbd.ttf","e8f4e3baf6cc35fed6fcce3a540e8b39e8f6cda1d22a28f2ec8f526fef7a43f5","thumbnail/case-digest-thumbnail.jpg","rasterized_text_only_font_not_redistributed","system_font_use_not_legally_reviewed","local_identity_recorded","yes","none"
