"utterance_id","source_section_id","source_character_start","source_character_end","source_text_ja","tts_reading_text_ja","semantic_equivalence","style_id","shot_id","target_start_seconds","synthesized_duration","actual_end_seconds","preceding_gap_seconds","following_gap_seconds","source_text_sha256","wav_sha256"
"utterance-01","1","0","24","正午、鐘のない塔から鐘の音が響いたと報告された。","正午、鐘のない塔から鐘の音が響いたと報告された。","True","10000","shot-b01-01","0.25","4.170667","4.420667","0.25","1.048","504887dcd575afc26e72221e0e7eb9fd975e957e6d45cafde1b2f01b0c8cb4e0","df88c943bdec31c7b30728eed013972f041193e9976a7c043750909031263557"
"utterance-02","1","24","33","塔の取付枠は空で、","塔の取付枠は空で、","True","10000","shot-b01-01","5.468667","1.781333","7.25","1.048","5","8f5ef95cb531ea62e3417640e8eeb8e705597663227f88f30aa46c1d1762cffb","0bb2d85bd86579d7507f013e1036dd150e7a58f11bf72c3d023dac56086fe383"
"utterance-03","1","33","83","音を生む鐘は見当たらない。確認できるのは、目撃された現象と空の枠だけであり、音源は特定されていない。","音を生む鐘は見当たらない。確認できるのは、目撃された現象と空の枠だけであり、音源は特定されていない。","True","10000","shot-b01-02","12.25","8.352","20.602","5","3.648","4e0ace88f3db86b0d6c63b74d62b278e409df7c61060c6b069d35b31f5651cfd","4aa8b0eb7868c028996296a74eb8a8bbbcbe46cab6b8941c739dad6423533451"
"utterance-04","2","0","15","時計修理師のミラ・ヴェイルは、","時計修理師のミラ・ヴェイルは、","True","10000","shot-b02-01","24.25","2.314667","26.564667","3.648","3.624","18e543b25643934233152de843cefd9195531ccf6c3d3960c91103606832af9f","aef2469dbd9f825a4400e593f3510ae8dd871cfdb893984186e93c8ad0d9bfd7"
"utterance-05","2","15","37","失踪した兄が残したとされるメモを調べている。","失踪した兄が残したとされるメモを調べている。","True","10000","shot-b02-01","30.188667","3.061333","33.25","3.624","5","934f182a7c8b8107a5319035ca9164505302fcf22114b6471cc70cd5e1bcd51b","09c654e271ab9614b3fb89f21e12f549309e2d53fa859dd8b73eca10c034dda4"
"utterance-06","2","37","50","作業台には真鍮の蛾があり、","作業台にはしんちゅうでできた、ガがあり、","True","10000","shot-b02-02","38.25","2.944","41.194","5","2.696","39de1c8a553397464552032072d84e3bb0ac33f41da01c15e330f1454611a1fc","8389551fcacb04106caf4d47541fadb5cb4ff8d2d57f7fb16bbd5e28ade2dacd"
"utterance-07","2","50","70","時計と記録には9:17が繰り返し現れる。","時計と記録には9時17分が繰り返し現れる。","True","10000","shot-b02-02","43.89","3.36","47.25","2.696","5","8d175cd1596252ee4c8310b6b6204efa387bc78c7265ac4b8b1e2739f78bdaec","5a92c144e1cd398bc0ad1f61d6e6544ad0fa9c00ff503d6c002345560c671daa"
"utterance-08","2","70","93","メモ、蛾、9:17は一つの手掛かりの連鎖だが、","メモ、ガ、9時17分は一つの手掛かりの連鎖だが、","True","10000","shot-b02-03","52.25","4.661333","56.911333","5","0.943334","b1197671138722ff58c6849222471a734ea305d52662b4e167a5e354c44f1095","79bb8aebfab5bd822b86b96d3d1fe65789595b53263667600fc61a31188c8551"
"utterance-09","2","93","109","兄の所在を直接示す記録ではない。","兄の所在を直接示す記録ではない。","True","10000","shot-b02-03","57.854667","2.645333","60.5","0.943334","4.926","e859de2d4c45c9aa6071462cf17f04e374cae3d1149b5cf7c5ded84e78aca9f8","aab1d313391a289974b773584762372a4d32179035706b0aeae2ea8109e31ec3"
"utterance-10","3","0","19","調査対象の台帳には、「分」を記す欄と、","調査対象の台帳には、「ふん」を記す欄と、","True","10000","shot-b03-01","65.426","3.84","69.266","4.926","5","953cc33f94b5d797aa353d919240cb83f40a06ae8bbec53778adfa18f8fdb2c8","354d3d8caa7d783ece4bfedf8258162c10aacf5f405d3aabf70cbee0b0766bbd"
