requirement_id,asset_class,one_line_requirement_ja,operation_scope,quantity,quantity_unit,shot_usage,requirements_ja,asset_status,rights_status,provenance_required,owner,next_move
AR-ENV-01,environment,AR-ENV-01｜鐘のない天文台と空の鐘枠を、遠景・内部寄り・終幕回帰で再利用できる汎用セット。,reusable,1,reusable_set,shot-b01-01|shot-b01-02|shot-b01-03|shot-b06-03,鐘そのものや鳴動原因を描かず、実在駅・施設・ロゴを特定しない。,unselected,not_reviewed,true,human production / rights review,asset sourcingとrights reviewの別承認後に候補を比較する。
AR-ENV-02,environment,AR-ENV-02｜半透明仕切りを含む中立的な制度空間。評議会場・台帳の影・制度候補面へ再利用する。,reusable,1,reusable_set,shot-b04-01|shot-b04-03|shot-b05-03,有罪演技、悪役記号、実在組織の紋章や施設意匠を避ける。,unselected,not_reviewed,true,human production / rights review,asset sourcingとrights reviewの別承認後に候補を比較する。
AR-CHAR-01,character_silhouette,AR-CHAR-01｜人物を特定しない手元insert。時計修理と台帳を開く動作で共有する。,reusable,1,insert_set,shot-b02-01|shot-b03-01,顔、固有衣装、身体的特徴、演者を確定しない。,unselected,not_reviewed,true,human production / rights review,asset sourcingとrights reviewの別承認後に候補を比較する。
AR-CHAR-02,character_silhouette,AR-CHAR-02｜匿名の評議会構成員を示す中立的なシルエット。,beat_specific,3,silhouettes,shot-b04-01,個人特定、威圧的悪役化、顔や衣装のfinal designを行わない。,unselected,not_reviewed,true,human production / rights review,asset sourcingとrights reviewの別承認後に候補を比較する。
AR-CHAR-03,character_silhouette,AR-CHAR-03｜トーマの複数の運命候補を保持する未確定シルエット。,beat_specific,1,silhouette,shot-b05-01,生存・死亡・消失・潜伏のどれも確定させない。,unselected,not_reviewed,true,human production / rights review,asset sourcingとrights reviewの別承認後に候補を比較する。
AR-PROP-01,prop,AR-PROP-01｜時計修理台と9:17の時計面を同じ造形系で使えるモジュール。,reusable,1,modular_set,shot-b02-01|shot-b02-03,9:17は閉店時刻motifに留め、時計停止の確定事実にしない。,unselected,not_reviewed,true,human production / rights review,asset sourcingとrights reviewの別承認後に候補を比較する。
AR-PROP-02,prop,AR-PROP-02｜静止した真鍮の蛾。手掛かり、時計面、機能候補の三用途で再利用する。,reusable,1,prop,shot-b02-02|shot-b02-03|shot-b05-02,作動、正解機能、既存キャラクター類似を描かない。,unselected,not_reviewed,true,human production / rights review,asset sourcingとrights reviewの別承認後に候補を比較する。
AR-PROP-03,prop,AR-PROP-03｜トーマが残したとされる汎用メモ。,beat_specific,1,prop,shot-b02-02,筆跡、由来、真正性、生死を証明する文面にしない。,unselected,not_reviewed,true,human production / rights review,asset sourcingとrights reviewの別承認後に候補を比較する。
AR-DOC-01,document_graphic,AR-DOC-01｜架空の台帳、名前欄、『分』欄、未記入欄を持つ再利用可能な文書variant群。,reusable,1,variant_set,shot-b03-01|shot-b03-02|shot-b04-03|shot-b06-02,実在公文書、紋章、scan、既存紙面を使わず、真正性や因果を確定しない。,unselected,not_reviewed,true,human production / rights review,asset sourcingとrights reviewの別承認後に候補を比較する。
AR-DOC-02,document_graphic,AR-DOC-02｜仮説、運命、機能、動機、HOLDを同じ重みで並べる図版システム。,reusable,1,graphic_system,shot-b04-02|shot-b05-01|shot-b05-02|shot-b05-03|shot-b05-04,候補間に勝敗・採用・canon上の優先順位を付けない。,unselected,not_reviewed,true,human production / rights review,asset sourcingとrights reviewの別承認後に候補を比較する。
AR-ABS-01,abstract_graphic,AR-ABS-01｜名前の輪郭が薄れる感覚を示す抽象モーショングラフィック。,beat_specific,1,graphic,shot-b03-03,literal erasureの証拠や既存animationの流用にしない。,unselected,not_reviewed,true,human production / rights review,asset sourcingとrights reviewの別承認後に候補を比較する。
AR-ABS-02,abstract_graphic,AR-ABS-02｜時間と名前を同じ重みで並べ、中央を未決定のまま空ける分割図版。,beat_specific,2,panels,shot-b06-01,ミラの選択、時間返還、名前回復を成立済みに見せない。,unselected,not_reviewed,true,human production / rights review,asset sourcingとrights reviewの別承認後に候補を比較する。
AR-TYPE-01,typography,AR-TYPE-01｜字幕と短いlabelを統一する日本語firstの文字システム。font自体は未選定。,common,1,type_system,shot-b01-03|shot-b03-02|shot-b04-02|shot-b04-03|shot-b05-04|shot-b06-01|shot-b06-03,最大2行・1行18字の既存allowanceを守り、既存書体のlicenseを主張しない。,unselected,not_reviewed,true,human production / rights review,asset sourcingとrights reviewの別承認後に候補を比較する。
AR-AUDIO-01,audio_cue,AR-AUDIO-01｜六幕それぞれの音設計位置を示すcue placeholder。音声fileや素材は含めない。,common,6,beat_cue_placeholders,shot-b01-01|shot-b01-02|shot-b01-03|shot-b02-01|shot-b02-02|shot-b02-03|shot-b03-01|shot-b03-02|shot-b03-03|shot-b04-01|shot-b04-02|shot-b04-03|shot-b05-01|shot-b05-02|shot-b05-03|shot-b05-04|shot-b06-01|shot-b06-02|shot-b06-03,engine、voice、music、SFX、performer、licenseを選定せず、実audioを生成しない。,unselected,not_reviewed,true,human production / rights review,asset sourcingとrights reviewの別承認後に候補を比較する。
