semantic_unit_id,unit_type,claim_type,truth_status,visual_subject_ids,shot_ids,binding_level,rewrite_without_visual_change,visual_change_required,reason
clarity-cap-b01-01,review_explanatory_caption,observation,reported,tower|bell-sound,shot-b01-01,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
clarity-cap-b01-02,review_explanatory_caption,fact,reported,empty-bell-frame|removal-record,shot-b01-02,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
clarity-cap-b01-03,review_explanatory_caption,observation,observed,empty-bell-frame,shot-b01-03,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
clarity-cap-b02-01,review_explanatory_caption,fact,established,mira|clock-workbench,shot-b02-01,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
clarity-cap-b02-02,review_explanatory_caption,observation,reported,mira|toma-memo|brass-moth,shot-b02-01|shot-b02-02,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
clarity-cap-b02-03,review_explanatory_caption,observation,observed,clock-0917|brass-moth,shot-b02-03,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
clarity-cap-b03-01,review_explanatory_caption,fact,reported,toma-memo|ledger|council,shot-b03-01,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
clarity-cap-b03-02,review_explanatory_caption,observation,observed,ledger-minute-column|ledger-name-column,shot-b03-02,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
clarity-cap-b03-03,review_explanatory_caption,inference,suspected,fading-record,shot-b03-03,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
clarity-cap-b04-01,review_explanatory_caption,allegation,reported,toma-memo|council,shot-b04-01,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
clarity-cap-b04-02,review_explanatory_caption,observation,observed,ledger|council,shot-b04-02,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
clarity-cap-b04-03,review_explanatory_caption,inference,unresolved,council|ledger,shot-b04-03,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
clarity-cap-b05-01,review_explanatory_caption,observation,unresolved,toma,shot-b05-01,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
clarity-cap-b05-02,review_explanatory_caption,observation,observed,brass-moth,shot-b05-01|shot-b05-02,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
clarity-cap-b05-03,review_explanatory_caption,inference,unresolved,council,shot-b05-02|shot-b05-03,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
clarity-cap-b05-04,review_explanatory_caption,inference,suspected,toma|brass-moth|council,shot-b05-03|shot-b05-04,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
