shot_id,beat_id,impact_level,primary_image_change,shot_order_change,duration_change,review_caption_change,transition_boundary_repair,full_reassembly_required,reason
shot-b01-01,bridge-storyboard-beat-1-bellless-tower,L1_subject_bound,false,false,false,true,false,false,Accepted primary image and shot window are preserved; explanatory text is revised.
shot-b01-02,bridge-storyboard-beat-1-bellless-tower,L1_subject_bound,false,false,false,true,true,false,Accepted primary image and shot window are preserved; explanatory text is revised and the incoming boundary now starts from the rendered outgoing terminal frame.
shot-b01-03,bridge-storyboard-beat-1-bellless-tower,L1_subject_bound,false,false,false,true,true,false,Accepted primary image and shot window are preserved; explanatory text is revised and the incoming boundary now starts from the rendered outgoing terminal frame.
shot-b02-01,bridge-storyboard-beat-2-brass-moth,L1_subject_bound,false,false,false,true,true,false,Accepted primary image and shot window are preserved; explanatory text is revised and the incoming boundary now starts from the rendered outgoing terminal frame.
shot-b02-02,bridge-storyboard-beat-2-brass-moth,L1_subject_bound,false,false,false,true,true,false,Accepted primary image and shot window are preserved; explanatory text is revised and the incoming boundary now starts from the rendered outgoing terminal frame.
shot-b02-03,bridge-storyboard-beat-2-brass-moth,L1_subject_bound,false,false,false,true,true,false,Accepted primary image and shot window are preserved; explanatory text is revised and the incoming boundary now starts from the rendered outgoing terminal frame.
shot-b03-01,bridge-storyboard-beat-3-erased-names,L1_subject_bound,false,false,false,true,true,false,Accepted primary image and shot window are preserved; explanatory text is revised and the incoming boundary now starts from the rendered outgoing terminal frame.
shot-b03-02,bridge-storyboard-beat-3-erased-names,L1_subject_bound,false,false,false,true,true,false,Accepted primary image and shot window are preserved; explanatory text is revised and the incoming boundary now starts from the rendered outgoing terminal frame.
shot-b03-03,bridge-storyboard-beat-3-erased-names,L1_subject_bound,false,false,false,true,true,false,Accepted primary image and shot window are preserved; explanatory text is revised and the incoming boundary now starts from the rendered outgoing terminal frame.
shot-b04-01,bridge-storyboard-beat-4-council-shadow,L1_subject_bound,false,false,false,true,true,false,Accepted primary image and shot window are preserved; explanatory text is revised and the incoming boundary now starts from the rendered outgoing terminal frame.
shot-b04-02,bridge-storyboard-beat-4-council-shadow,L1_subject_bound,false,false,false,true,true,false,Accepted primary image and shot window are preserved; explanatory text is revised and the incoming boundary now starts from the rendered outgoing terminal frame.
shot-b04-03,bridge-storyboard-beat-4-council-shadow,L1_subject_bound,false,false,false,true,true,false,Accepted primary image and shot window are preserved; explanatory text is revised and the incoming boundary now starts from the rendered outgoing terminal frame.
shot-b05-01,bridge-storyboard-beat-5-held-answers,L1_subject_bound,false,false,false,true,true,false,Accepted primary image and shot window are preserved; explanatory text is revised and the incoming boundary now starts from the rendered outgoing terminal frame.
shot-b05-02,bridge-storyboard-beat-5-held-answers,L1_subject_bound,false,false,false,true,true,false,Accepted primary image and shot window are preserved; explanatory text is revised and the incoming boundary now starts from the rendered outgoing terminal frame.
shot-b05-03,bridge-storyboard-beat-5-held-answers,L1_subject_bound,false,false,false,true,true,false,Accepted primary image and shot window are preserved; explanatory text is revised and the incoming boundary now starts from the rendered outgoing terminal frame.
shot-b05-04,bridge-storyboard-beat-5-held-answers,L1_subject_bound,false,false,false,true,true,false,Accepted primary image and shot window are preserved; explanatory text is revised and the incoming boundary now starts from the rendered outgoing terminal frame.
shot-b06-01,bridge-storyboard-beat-6-time-or-names,L1_subject_bound,false,false,false,true,true,false,Accepted primary image and shot window are preserved; explanatory text is revised and the incoming boundary now starts from the rendered outgoing terminal frame.
shot-b06-02,bridge-storyboard-beat-6-time-or-names,L1_subject_bound,false,false,false,true,true,false,Accepted primary image and shot window are preserved; explanatory text is revised and the incoming boundary now starts from the rendered outgoing terminal frame.
shot-b06-03,bridge-storyboard-beat-6-time-or-names,L1_subject_bound,false,false,false,true,true,false,Accepted primary image and shot window are preserved; explanatory text is revised and the incoming boundary now starts from the rendered outgoing terminal frame.
