"cue_id","shot_id","start_seconds","end_seconds","source_text_ja","source_authored_line_break","render_line_count","render_line_1","render_line_2","line_1_measured_width_px","line_2_measured_width_px","safe_width_px","font_family","font_size_px","kinsoku_passed"
"case-digest-caption-01","shot-b01-01","0","12","正午、鐘のない塔から鐘の音が響いたと報告された。","false","1","正午、鐘のない塔から鐘の音が響いたと報告された。","","851","0","1120","Yu Gothic","40","true"
"case-digest-caption-02","shot-b01-02","12","24","塔の取付枠は空で、鐘は確認できない。","false","1","塔の取付枠は空で、鐘は確認できない。","","650","0","1120","Yu Gothic","40","true"
"case-digest-caption-03","shot-b02-01","24","38","時計修理師のミラ・ヴェイルが、失踪した兄の手掛かりを調べる。","false","2","時計修理師のミラ・ヴェイルが、","失踪した兄の手掛かりを調べる。","483","521","1120","Yu Gothic","40","true"
"case-digest-caption-04","shot-b02-02","38","52","失踪した兄のメモと真鍮の蛾が、作業台に残されている。","false","1","失踪した兄のメモと真鍮の蛾が、作業台に残されている。","","910","0","1120","Yu Gothic","40","true"
"case-digest-caption-05","shot-b02-03","52","65","時計と記録には、9:17が繰り返し現れる。","false","1","時計と記録には、9:17が繰り返し現れる。","","668","0","1120","Yu Gothic","40","true"
"case-digest-caption-06","shot-b03-01","65","81","失踪した兄のメモは、二列の台帳へ調査を導く。","false","1","失踪した兄のメモは、二列の台帳へ調査を導く。","","777","0","1120","Yu Gothic","40","true"
"case-digest-caption-07","shot-b03-02","81","97","台帳には、「分」の欄と人名の欄が並んでいる。","false","1","台帳には、「分」の欄と人名の欄が並んでいる。","","752","0","1120","Yu Gothic","40","true"
"case-digest-caption-08","shot-b04-01","97","116","メモは、市の評議会を調査対象として指している。","false","1","メモは、市の評議会を調査対象として指している。","","797","0","1120","Yu Gothic","40","true"
"case-digest-caption-09","shot-b04-02","116","136","告発は記録されているが、評議会の関与を裏づける証拠はない。","false","2","告発は記録されているが、","評議会の関与を裏づける証拠はない。","412","619","1120","Yu Gothic","40","true"
"case-digest-caption-10","shot-b06-01","136","158","時間と名前は、台帳の二つの損失区分である。","false","1","時間と名前は、台帳の二つの損失区分である。","","767","0","1120","Yu Gothic","40","true"
"case-digest-caption-11","shot-b06-03","158","180","音源と関係者を確定できないまま、塔は調査対象として残る。","false","2","音源と関係者を確定できないまま、","塔は調査対象として残る。","563","423","1120","Yu Gothic","40","true"
